ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MM8,647247771,2924-03104472-6A1331193,2026-06-26T05:53:03.000Z,Notification regarding unquoted securities - MM8,18KB,false,MM8,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03101173-6A1329836,2026-06-17T06:07:21.000Z,s708A Notice,204KB,false,MM8,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03101171-6A1329835,2026-06-17T06:04:41.000Z,Application for quotation of securities - MM8,18KB,false,MM8,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03100114-6A1329429,2026-06-14T23:16:24.000Z,High-Grade Gold-Copper Lode Discovery at Kundip,1151KB,true,MM8,,"[""Progress Report""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03098200-6A1328688,2026-06-08T23:10:21.000Z,Major Milestones Achieved at Cosmic Boy,957KB,true,MM8,,"[""Progress Report""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03096585-6A1328078,2026-06-02T22:50:30.000Z,More Exceptional High-Grade Gold Results from Lounge Lizard,2555KB,true,MM8,,"[""Progress Report""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03094263-6A1327162,2026-05-27T05:11:35.000Z,s708A Notice,205KB,false,MM8,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03094262-6A1327161,2026-05-27T05:10:35.000Z,Application for quotation of securities - MM8,18KB,false,MM8,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03089923-6A1325421,2026-05-13T22:31:37.000Z,Kundip Drilling Returns Multiple High-Grade Results,4909KB,true,MM8,,"[""Progress Report""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
MM8,647247771,2924-03088431-6A1324795,2026-05-08T07:08:32.000Z,s708A Notice,205KB,false,MM8,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MM8""}]","[{""symbol"": ""MM8"", ""xid"": ""647278859"", ""ASXSecurityType"": 1, ""displayName"": ""MEDALLION METALS LIMITED."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000138828"", ""xidEntity"": 647247771, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""MM8"", """"]"
