ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MMI,204218232,2924-03105734-2A1680810,2026-06-30T07:17:26.000Z,Update - Notification regarding unquoted securities - MMI,16KB,false,MMI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03105704-2A1680793,2026-06-30T06:51:46.000Z,Change of Director's Interest Notice,400KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03105611-2A1680735,2026-06-30T04:23:11.000Z,Update - Notification regarding unquoted securities - MMI,16KB,false,MMI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03105608-2A1680732,2026-06-30T04:19:01.000Z,Update - Notification regarding unquoted securities - MMI,16KB,false,MMI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03104384-2A1679771,2026-06-26T03:10:08.000Z,Notification regarding unquoted securities - MMI,16KB,false,MMI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03104382-2A1679770,2026-06-26T03:07:13.000Z,Notification regarding unquoted securities - MMI,16KB,false,MMI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03103869-2A1679379,2026-06-25T01:48:08.000Z,Company Secretary Appointment/Resignation,209KB,false,MMI,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03103452-2A1679066,2026-06-24T05:28:24.000Z,Application for quotation of securities - MMI,16KB,false,MMI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03098021-2A1676313,2026-06-08T22:19:21.000Z,Operational Update,200KB,false,MMI,,"[""Progress Report""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03096821-2A1675402,2026-06-03T04:06:12.000Z,Updated Investor Presentation - Sydney Mining Club,6823KB,false,MMI,,"[""Company Presentation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03096727-2A1675274,2026-06-03T00:06:15.000Z,Investor Presentation - Sydney Mining Club,6723KB,false,MMI,,"[""Company Presentation""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03095785-2A1674839,2026-06-01T00:24:07.000Z,Final Director's Interest Notice - Jo-Anne Scarini,242KB,false,MMI,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03095579-2A1674743,2026-05-31T22:25:56.000Z,Director Appointment/Resignation,182KB,false,MMI,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03095297-2A1674599,2026-05-29T05:32:33.000Z,Change of Director's Interest Notice - Paul Lucas,274KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03095296-2A1674598,2026-05-29T05:31:33.000Z,Change of Director's Interest Notice - Douglas Ritchie,281KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03095292-2A1674594,2026-05-29T05:26:48.000Z,Notification regarding unquoted securities - MMI,16KB,false,MMI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03090674-2A1672341,2026-05-15T07:49:34.000Z,Change of Director's Interest Notice - Douglas Ritchie,280KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03090586-2A1672303,2026-05-15T05:25:03.000Z,Application for quotation of securities - MMI,17KB,false,MMI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03088467-2A1671322,2026-05-08T08:08:13.000Z,Completion of Security Consolidation,168KB,false,MMI,,"[""Capital Reconstruction""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03086882-2A1670258,2026-05-05T08:41:01.000Z,Change of Director's Interest Notice - Simon Wensley,265KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03086763-2A1670098,2026-05-05T05:51:05.000Z,Operational Update,199KB,false,MMI,,"[""Progress Report""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03086755-2A1670095,2026-05-05T05:46:05.000Z,Change of Director's Interest Notice - Douglas Ritchie,280KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03086276-2A1669865,2026-05-04T06:25:55.000Z,Change of Director's Interest Notice - Paul Lucas,273KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
MMI,204218232,2924-03086272-2A1669863,2026-05-04T06:24:00.000Z,Change of Director's Interest Notice - Jo-Anne Scarini,260KB,false,MMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MMI""}]","[{""symbol"": ""MMI"", ""xid"": ""21663860"", ""ASXSecurityType"": 1, ""displayName"": ""METRO MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MMI6"", ""xidEntity"": 204218232}]","[""MMI"", """"]"
