ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MQR,402270942,2924-03104490-6A1331202,2026-06-26T06:19:53.000Z,Section 708A Cleansing Statement,165KB,false,MQR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03104485-6A1331201,2026-06-26T06:17:53.000Z,Application for quotation of securities - MQR,15KB,false,MQR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03102907-6A1330577,2026-06-23T00:27:29.000Z,Proposed issue of securities - MQR,17KB,false,MQR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03102906-6A1330575,2026-06-23T00:27:19.000Z,Proposed issue of securities - MQR,21KB,false,MQR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03102905-6A1330571,2026-06-23T00:27:09.000Z,Proposed issue of securities - MQR,18KB,false,MQR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03102904-6A1330567,2026-06-23T00:26:59.000Z,Proposed issue of securities - MQR,18KB,false,MQR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03102903-6A1330563,2026-06-23T00:26:49.000Z,MARQUEE TO ACQUIRE HIGH-GRADE TUNGSTEN PROJECT IN NEVADA,1235KB,true,MQR,,"[""Asset Acquisition"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03101843-6A1330121,2026-06-18T23:27:23.000Z,Trading Halt,276KB,true,MQR,,"[""Trading Halt""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03084564-6A1323138,2026-04-29T23:35:36.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,772KB,true,MQR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
MQR,402270942,2924-03078953-6A1320527,2026-04-14T23:48:10.000Z,MQR Redlings REE and ORNL NEAREST Investor Presentation,1323KB,true,MQR,,"[""Company Presentation""]","[{""symbolDisplay"": ""MQR""}]","[{""symbol"": ""MQR"", ""xid"": ""402224439"", ""ASXSecurityType"": 1, ""displayName"": ""MARQUEE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MQR8"", ""xidEntity"": 402270942}]","[""MQR"", """"]"
