ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MSG,204979020,2924-03098986-6A1328993,2026-06-10T22:19:40.000Z,Completion of Sale of Highways Traffic Business Assets,587KB,false,MSG,,"[""Asset Disposal"", ""Progress Report""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03086534-6A1324041,2026-05-04T22:52:22.000Z,Update on sale of Highways Traffic business,565KB,false,MSG,,"[""Asset Disposal""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03084776-6A1323236,2026-04-30T02:15:17.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,1296KB,true,MSG,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03080918-6A1321323,2026-04-21T04:00:55.000Z,Results of Meeting,460KB,false,MSG,,"[""Results of Meeting""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03080917-6A1321322,2026-04-21T04:00:40.000Z,Approval for sale of Highways Traffic business,729KB,true,MSG,,"[""Asset Disposal"", ""Trading Halt Lifted"", ""Company Administration - Other""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03080757-6A1321254,2026-04-20T23:09:24.000Z,Trading Halt,724KB,true,MSG,,"[""Trading Halt""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03069725-6A1316954,2026-03-18T03:11:44.000Z,Notice of Extraordinary General Meeting/ Proxy Form,1100KB,false,MSG,,"[""Notice of Extraordinary General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03063655-6A1314463,2026-03-02T08:00:34.000Z,Reinstatement to Quotation,80KB,true,MSG,,"[""Reinstatement to Official Quotation""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03063640-6A1314460,2026-03-02T07:04:44.000Z,Appendix 4D,287KB,true,MSG,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""MSG""}]","[{""symbol"": ""MSG"", ""xid"": ""39768453"", ""ASXSecurityType"": 1, ""displayName"": ""MCS SERVICES LIMITED"", ""issueTypeCode"": 1}]","[""MSG"", """"]"
MSG,204979020,2924-03063397-2A1657207,2026-03-01T22:38:25.000Z,Suspension from Quotation,86KB,true,ATM,,"[""Suspension from Official Quotation""]","[{""symbolDisplay"": ""ATM""}, {""symbolDisplay"": ""BOC""}, {""symbolDisplay"": ""ORE""}, {""symbolDisplay"": ""SFG""}, {""symbolDisplay"": ""CGO""}, {""symbolDisplay"": ""FNX""}, {""symbolDisplay"": ""MSG""}, {""symbolDisplay"": ""ZLD""}]","[{""symbol"": ""ATM"", ""xid"": ""53857"", ""ASXSecurityType"": 1, ""displayName"": ""PT ANTAM (PERSERO) TBK"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ATM8"", ""xidEntity"": 204239995, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""ATM"", ""BOC"", ""ORE"", ""SFG"", ""CGO"", ""FNX"", ""MSG"", ""ZLD"", """"]"
