ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MTM,661045126,2924-03105256-6A1331520,2026-06-29T22:14:55.000Z,Metallium Announces Senior Executive Changes,212KB,false,MTM,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03104965-6A1331393,2026-06-29T01:44:41.000Z,"Change of Director Interest Notices - M Walshe, J Hannaford",1891KB,false,MTM,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03100484-6A1329576,2026-06-15T22:24:34.000Z,Successful Completion of First Multi-Unit FJH Test Campaign,609KB,true,MTM,,"[""Progress Report""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03092903-6A1326600,2026-05-22T05:23:02.000Z,Cleansing Notice,680KB,false,MTM,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03092900-6A1326599,2026-05-22T05:16:02.000Z,Application for quotation of securities - MTM,15KB,false,MTM,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03092535-6A1326459,2026-05-21T06:05:48.000Z,Proposed issue of securities - MTM,14KB,false,MTM,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03092220-6A1326356,2026-05-20T22:19:50.000Z,Presentation at Canaccord Global Metals Conference Nevada,5018KB,false,MTM,,"[""Company Presentation""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03091262-6A1325975,2026-05-18T22:12:57.000Z,Metallium Secures US$1M U.S. DoW Phase II Award,516KB,true,MTM,,"[""Progress Report""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03089017-6A1325052,2026-05-11T22:28:03.000Z,Continuous FJH Commissioning Milestone De-Risks Scale-Up,1088KB,true,MTM,,"[""Progress Report""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03087414-6A1324418,2026-05-06T08:10:54.000Z,Results of Meeting,578KB,false,MTM,,"[""Results of Meeting""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03087005-6A1324254,2026-05-05T22:34:46.000Z,50% of Stage-1 E-Waste Feedstock Target Now Under Contract,398KB,true,MTM,,"[""Progress Report""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03078693-6A1320414,2026-04-14T07:13:34.000Z,Change of Director's Interest Notice x 4,4260KB,false,MTM,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
MTM,661045126,2924-03077853-6A1320113,2026-04-12T22:22:36.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1499KB,true,MTM,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""MTM""}]","[{""symbol"": ""MTM"", ""xid"": ""661969814"", ""ASXSecurityType"": 1, ""displayName"": ""METALLIUM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000155228"", ""xidEntity"": 661045126}]","[""MTM"", """"]"
