ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MYG,204230016,2924-03095966-2A1674965,2026-06-01T08:01:35.000Z,Becoming a substantial holder,176KB,false,MYG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03094993-2A1674438,2026-05-28T22:30:15.000Z,Change of Director's Interest Notice - Phillips,216KB,false,MYG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03094991-2A1674434,2026-05-28T22:29:25.000Z,Change in substantial holding - Nightingale,78KB,false,MYG,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03094987-2A1674432,2026-05-28T22:26:20.000Z,Sale of Mayfield Shares,163KB,false,MYG,,"[""Security holder details - Other""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03094370-2A1674124,2026-05-27T07:40:56.000Z,Cleansing notice,134KB,false,MYG,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03093804-2A1673856,2026-05-26T03:59:15.000Z,Notification regarding unquoted securities - MYG,17KB,false,MYG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03093803-2A1673857,2026-05-26T03:53:10.000Z,Notification regarding unquoted securities - MYG,16KB,false,MYG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03093800-2A1673854,2026-05-26T03:38:30.000Z,Application for quotation of securities - MYG,15KB,false,MYG,,"[""Appendix 2A""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03089946-2A1672009,2026-05-13T22:49:52.000Z,Change of Director's Interest Notice - Henderson,215KB,false,MYG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
MYG,204230016,2924-03087795-2A1670914,2026-05-07T02:59:26.000Z,Contracts Update - $31 Million in New Orders,233KB,false,MYG,,"[""Progress Report""]","[{""symbolDisplay"": ""MYG""}]","[{""symbol"": ""MYG"", ""xid"": ""54273"", ""ASXSecurityType"": 1, ""displayName"": ""MAYFIELD GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000119331"", ""xidEntity"": 204230016, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Electrical Equipment"", ""subIndustry"": ""Heavy Electrical Equipment""}]","[""MYG"", """"]"
