ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
MYX,204166792,2924-03104217-3A696028,2026-06-25T23:15:32.000Z,Mayne Pharma appoints new Non-Executive Director,151KB,false,MYX,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03104206-3A696027,2026-06-25T23:11:42.000Z,Change in substantial holding,327KB,false,MYX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03101567-3A695560,2026-06-18T04:57:46.000Z,Change in substantial holding,327KB,false,MYX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03097785-3A694841,2026-06-05T05:51:10.000Z,Final Director's Interest Notice,282KB,false,MYX,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03097689-3A694819,2026-06-05T00:44:53.000Z,Mayne Pharma receives $14.4m for legal costs from Cosette,152KB,true,MYX,,"[""Periodic Reports - Other"", ""Legal Proceedings""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03097400-3A694771,2026-06-04T07:17:12.000Z,MYX Jefferies Global Healthcare Conference Presentation,1695KB,false,MYX,,"[""Company Presentation""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03095633-3A694377,2026-05-31T22:50:16.000Z,New DistributeRx partnership with Resilia Pharmaceuticals,152KB,false,MYX,,"[""Progress Report""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03094047-3A694086,2026-05-26T22:44:22.000Z,Mayne Pharma to present at Jefferies Healthcare Conference,106KB,false,MYX,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03092818-3A693838,2026-05-22T01:08:40.000Z,Court awards MYX $13.27m for legal costs from Cosette,153KB,true,MYX,,"[""Legal Proceedings""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
MYX,204166792,2924-03090871-3A693453,2026-05-17T22:57:37.000Z,Mayne Pharma announces expansion of Adelaide Apothecary,204KB,false,MYX,,"[""Progress Report""]","[{""symbolDisplay"": ""MYX""}]","[{""symbol"": ""MYX"", ""xid"": ""7678154"", ""ASXSecurityType"": 1, ""displayName"": ""MAYNE PHARMA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000MYX0"", ""xidEntity"": 204166792, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Pharmaceuticals"", ""subIndustry"": ""Pharmaceuticals""}]","[""MYX"", """"]"
