ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
NGX,788273762,2924-03101256-6A1329868,2026-06-17T08:08:52.000Z,Change of Director's Interest Notice x 3,1086KB,false,NGX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-03100344-6A1329515,2026-06-15T06:58:58.000Z,Notification of cessation of securities - NGX,13KB,false,NGX,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-03084168-6A1322947,2026-04-29T22:09:05.000Z,March 2026 Quarterly Report,631KB,true,NGX,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-03065128-6A1315024,2026-03-05T06:36:21.000Z,Half Year Accounts,2393KB,false,NGX,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-03049992-6A1308968,2026-01-28T21:39:05.000Z,December 2025 Quarterly Report,561KB,true,NGX,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-03024684-6A1297643,2025-11-18T07:51:57.000Z,Results of Meeting,219KB,false,NGX,,"[""Results of Meeting""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-03017072-6A1294573,2025-10-30T22:24:22.000Z,September 2025 Quarterly Report,506KB,true,NGX,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-03006608-6A1289588,2025-10-10T08:56:32.000Z,Notice of Annual General Meeting/Proxy Form,569KB,false,NGX,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02995375-6A1284665,2025-09-18T22:19:35.000Z,Appendix 4G and Corporate Governance Statement,654KB,false,NGX,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02995374-6A1284664,2025-09-18T22:19:25.000Z,Annual Report to shareholders,1934KB,false,NGX,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02995320-6A1284632,2025-09-18T08:11:46.000Z,Date of Annual General Meeting,188KB,false,NGX,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02972501-6A1275548,2025-07-29T23:16:36.000Z,June 2025 Quarterly Report,533KB,true,NGX,,"[""Fourth Quarter Activities Report"", ""Fourth Quarter Cash Flow Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02958752-6A1269402,2025-06-20T03:23:24.000Z,Notification regarding unquoted securities - NGX,17KB,false,NGX,,"[""Appendix 3G""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02958750-6A1269401,2025-06-20T03:20:24.000Z,Change of Company Secretary,265KB,false,NGX,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02953637-6A1267333,2025-06-04T04:42:40.000Z,Release of Escrow Securities,270KB,false,NGX,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02940142-6A1261827,2025-04-28T22:20:21.000Z,March 2025 Quarterly Report,577KB,true,NGX,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02923902-6A1255244,2025-03-12T04:16:20.000Z,Change of Director's Interest Notice,228KB,false,NGX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02923900-6A1255242,2025-03-12T04:06:05.000Z,Notification regarding unquoted securities - NGX,17KB,false,NGX,,"[""Appendix 3G""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02923899-6A1255241,2025-03-12T04:01:50.000Z,Results of Meeting,191KB,false,NGX,,"[""Results of Meeting""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02922376-6A1254549,2025-03-07T01:42:37.000Z,Half Year Accounts,1021KB,false,NGX,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02921052-6A1254151,2025-03-04T21:22:38.000Z,Electrochemical Testing Confirms Suitability for Batteries,616KB,true,NGX,,"[""Progress Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02911021-6A1250603,2025-02-09T21:56:25.000Z,Notice of General Meeting/Proxy Form,742KB,false,NGX,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
NGX,788273762,2924-02909920-6A1250178,2025-02-05T07:07:16.000Z,Spherical Graphite Process Increases Yields (amended),630KB,false,NGX,,"[""Progress Report""]","[{""symbolDisplay"": ""NGX""}]","[{""symbol"": ""NGX"", ""xid"": ""793765498"", ""ASXSecurityType"": 1, ""displayName"": ""NGX LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000273088"", ""xidEntity"": 788273762, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""NGX"", """"]"
