ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
NTU,199001326,2924-03104010-6A1331024,2026-06-25T07:11:29.000Z,Cancellation of 2025 AGM,538KB,false,NTU,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03100938-6A1329748,2026-06-16T22:34:58.000Z,ASIC grants NTU extension of time to hold 2025 AGM,171KB,false,NTU,,"[""Notice of Meeting - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03091472-6A1326075,2026-05-19T00:26:47.000Z,Treasurer Issues New Disposal Order - Update,995KB,true,NTU,,"[""Security holder details - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03091035-6A1325893,2026-05-18T00:40:27.000Z,Treasurer makes further disposal orders,428KB,true,NTU,,"[""Security holder details - Other"", ""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03091003-6A1325888,2026-05-17T23:57:12.000Z,Pause in Trading,113KB,true,NTU,,"[""Notice Pending""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03090256-6A1325555,2026-05-14T07:49:05.000Z,Ceasing to be a substantial holder,585KB,false,NTU,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03084882-6A1323297,2026-04-30T04:09:37.000Z,Quarterly Activities Report,819KB,true,NTU,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03084880-6A1323296,2026-04-30T04:06:32.000Z,Appendix 5B Quarterly Cash Flow Report,888KB,true,NTU,,"[""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03083837-6A1322719,2026-04-29T01:40:13.000Z,Update to Dazzler Mineral Resource Estimate,3021KB,true,NTU,,"[""Progress Report""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03074557-6A1318953,2026-03-31T22:15:03.000Z,Treasurer's Directions regarding Hong Kong Ying Tak shares,425KB,true,NTU,,"[""Security holder details - Other"", ""Progress Report""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03068391-6A1316393,2026-03-15T21:10:53.000Z,Half Yearly Report and Accounts,719KB,false,NTU,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
NTU,199001326,2924-03065750-6A1315286,2026-03-08T21:13:59.000Z,Appointment of CFO - Joint Company Secretary,132KB,false,NTU,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""NTU""}]","[{""symbol"": ""NTU"", ""xid"": ""5909240"", ""ASXSecurityType"": 1, ""displayName"": ""NORTHERN MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000NTU4"", ""xidEntity"": 199001326}]","[""NTU"", """"]"
