ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
NUC,563726101,2924-03105409-3A696237,2026-06-29T23:15:45.000Z,Change of Registered Office and Principal Place of Business,291KB,false,NUC,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03105363-3A696223,2026-06-29T22:53:30.000Z,Change in Substantial Holding - NUC,349KB,false,NUC,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03102433-3A695724,2026-06-22T00:05:50.000Z,Notice of Release of Escrow Securities,295KB,false,NUC,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03093361-3A693940,2026-05-25T03:54:51.000Z,Change in Substantial Holding,302KB,false,NUC,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03091049-3A693491,2026-05-18T01:14:33.000Z,Notice of Release of Escrow Securities,294KB,false,NUC,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03090585-3A693391,2026-05-15T05:24:13.000Z,Nuchev Secures Working Capital Facility,244KB,true,NUC,,"[""Debt Facility""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03085646-3A692519,2026-05-01T06:05:27.000Z,Update to Securities Dealing Policy,584KB,false,NUC,,"[""Trading Policy""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03085501-3A692487,2026-05-01T00:42:50.000Z,Permanent Appointment of CFO,324KB,false,NUC,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03082717-3A692017,2026-04-27T03:04:50.000Z,Appendix 4C and Quarterly Activities Report,1036KB,true,NUC,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
NUC,563726101,2924-03070589-3A689822,2026-03-20T03:21:57.000Z,Notification regarding unquoted securities - NUC,15KB,false,NUC,,"[""Appendix 3G""]","[{""symbolDisplay"": ""NUC""}]","[{""symbol"": ""NUC"", ""xid"": ""565845511"", ""ASXSecurityType"": 1, ""displayName"": ""NUCHEV LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000067001"", ""xidEntity"": 563726101}]","[""NUC"", """"]"
