ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
NVO,204102485,2924-03098384-6A1328741,2026-06-09T03:29:08.000Z,Novo announces - Belltopper Gold Project Mineral Resource,2631KB,true,NVO,,"[""Progress Report""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03096774-6A1328151,2026-06-03T01:51:11.000Z,Statement of CDIs on issue - NVO,10KB,false,NVO,,"[""Alteration to issued capital""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03094797-6A1327389,2026-05-28T05:58:14.000Z,Change of Director's Interest Notice,222KB,false,NVO,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03094794-6A1327388,2026-05-28T05:55:24.000Z,Novo - Cleansing Notice,75KB,false,NVO,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03094792-6A1327387,2026-05-28T05:50:14.000Z,Notification regarding unquoted securities - NVO,14KB,false,NVO,,"[""Appendix 3G""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03094789-6A1327386,2026-05-28T05:49:09.000Z,Notification regarding unquoted securities - NVO,14KB,false,NVO,,"[""Appendix 3G""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03094787-6A1327382,2026-05-28T05:47:14.000Z,Application for quotation of securities - NVO,15KB,false,NVO,,"[""Appendix 2A""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03094786-6A1327381,2026-05-28T05:46:19.000Z,Application for quotation of securities - NVO,15KB,false,NVO,,"[""Appendix 2A""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03094781-6A1327379,2026-05-28T05:34:44.000Z,Novo Announces Completion of Tranche 2 of the Placement,80KB,false,NVO,,"[""Placement""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03093982-6A1327043,2026-05-26T22:22:07.000Z,Novo Announces Egina Gold Project Updated,394KB,true,NVO,,"[""Progress Report""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03092812-6A1326557,2026-05-22T00:48:05.000Z,Novo Announces Report of Voting Results,146KB,false,NVO,,"[""Results of Meeting""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
NVO,204102485,2924-03092811-6A1326556,2026-05-22T00:48:00.000Z,Novo Announces Director Election Results,55KB,false,NVO,,"[""Results of Meeting""]","[{""symbolDisplay"": ""NVO""}]","[{""symbol"": ""NVO"", ""xid"": ""821020660"", ""ASXSecurityType"": 1, ""displayName"": ""NOVO RESOURCES CORP."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000291643"", ""xidEntity"": 204102485}]","[""NVO"", """"]"
