ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
NYR,549068620,2924-03105758-2A1680815,2026-06-30T07:43:11.000Z,Notification of cessation of securities - NYR,15KB,false,NYR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03105454-2A1680577,2026-06-29T23:48:05.000Z,Cleansing Statement,303KB,false,NYR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03105452-2A1680576,2026-06-29T23:46:30.000Z,Application for quotation of securities - NYR,15KB,false,NYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03105166-2A1680183,2026-06-29T08:11:42.000Z,Cleansing Statement,303KB,false,NYR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03105164-2A1680182,2026-06-29T08:10:37.000Z,Application for quotation of securities - NYR,15KB,false,NYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03100772-2A1677677,2026-06-16T06:42:17.000Z,Cleansing Statement,303KB,false,NYR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03100770-2A1677676,2026-06-16T06:39:32.000Z,Application for quotation of securities - NYR,15KB,false,NYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03100490-2A1677534,2026-06-15T22:25:04.000Z,Change of Director's Interest Notice - JB,6KB,false,NYR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03100485-2A1677531,2026-06-15T22:24:39.000Z,PROTECT-MI Phase IIa Clinical Trial Update,360KB,false,NYR,,"[""Progress Report""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03097172-2A1675573,2026-06-03T23:39:14.000Z,Investor Presentation,1850KB,false,NYR,,"[""Company Presentation""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03096812-2A1675390,2026-06-03T03:39:02.000Z,Nyrada Successfully Completes Cardioprotection Pilot Study,355KB,false,NYR,,"[""Progress Report""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03095101-2A1674507,2026-05-28T23:45:26.000Z,Nyrada Receives A$2.455M R&D Tax Incentive Rebate,321KB,false,NYR,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03093459-2A1673679,2026-05-25T07:19:42.000Z,Cleansing Statement,303KB,false,NYR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03093454-2A1673678,2026-05-25T07:15:17.000Z,Application for quotation of securities - NYR,15KB,false,NYR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03092470-2A1673188,2026-05-21T02:56:57.000Z,Upcoming Expiry of Unlisted Options,516KB,false,NYR,,"[""Issued Capital - Other"", ""Letter to Shareholders - Other""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03091847-2A1672870,2026-05-19T23:13:51.000Z,Xolatryp Enhances Anthracycline Anti-Tumour Efficacy,490KB,true,NYR,,"[""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03091600-2A1672763,2026-05-19T06:54:10.000Z,Trading Halt,497KB,true,NYR,,"[""Trading Halt""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03091561-2A1672741,2026-05-19T05:37:59.000Z,Pause in Trading,112KB,true,NYR,,"[""Notice Pending""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
NYR,549068620,2924-03091554-2A1672736,2026-05-19T05:10:59.000Z,Nyrada Receives Notice of Allowance for Xolatryp US Patent,333KB,true,NYR,,"[""Progress Report""]","[{""symbolDisplay"": ""NYR""}]","[{""symbol"": ""NYR"", ""xid"": ""570849256"", ""ASXSecurityType"": 1, ""displayName"": ""NYRADA INC."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000070195"", ""xidEntity"": 549068620}]","[""NYR"", """"]"
