ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
OAK,204238756,2924-03084714-3A692346,2026-04-30T01:04:06.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,336KB,true,OAK,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-03057372-3A687268,2026-02-17T01:22:30.000Z,Change in substantial holding,723KB,false,OAK,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-03055455-3A686913,2026-02-11T06:18:28.000Z,Half Year Accounts,1317KB,true,OAK,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-03051251-3A686243,2026-01-30T04:14:16.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,345KB,true,OAK,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-03030126-3A682658,2025-11-28T01:15:13.000Z,Results of Meeting,170KB,false,OAK,,"[""Results of Meeting""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-03017415-3A680377,2025-10-31T03:00:54.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,342KB,true,OAK,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-03014495-3A679873,2025-10-27T21:49:19.000Z,Notice of Annual General Meeting/Proxy Form,469KB,false,OAK,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-02982257-3A674178,2025-08-22T03:35:40.000Z,Appendix 4G and Corporate Governance Statement,333KB,false,OAK,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-02982256-3A674177,2025-08-22T03:34:40.000Z,Full Year Statutory Accounts,1801KB,false,OAK,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
OAK,204238756,2924-02982254-3A674176,2025-08-22T03:30:50.000Z,Appendix 4E,142KB,true,OAK,,"[""Preliminary Final Report""]","[{""symbolDisplay"": ""OAK""}]","[{""symbol"": ""OAK"", ""xid"": ""7486254"", ""ASXSecurityType"": 1, ""displayName"": ""OAKRIDGE INTERNATIONAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000146961"", ""xidEntity"": 204238756}]","[""OAK"", """"]"
