ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
OIL,204114846,2924-03097086-3A694718,2026-06-03T22:39:59.000Z,Halfway Mark Reached in Optiscan Breast Cancer Study,751KB,true,OIL,,"[""Progress Report""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03095809-3A694428,2026-06-01T01:32:22.000Z,Second Anniversary of Optiscan and Mayo Clinic Agreement,324KB,true,OIL,,"[""Progress Report""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03093410-3A693949,2026-05-25T06:11:21.000Z,Change of Director's Interest Notice,306KB,false,OIL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03091796-3A693623,2026-05-19T22:44:21.000Z,Optiscan Receives $1.69m R&D Tax Refund,126KB,true,OIL,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03084361-3A692280,2026-04-29T22:47:55.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,561KB,true,OIL,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03073923-3A690484,2026-03-30T22:30:54.000Z,Optiscan Submits InSpecta FDA Dossier,600KB,true,OIL,,"[""Progress Report""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03069311-3A689584,2026-03-17T04:46:10.000Z,Change in substantial holding,378KB,false,OIL,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03060958-3A687992,2026-02-24T22:51:44.000Z,Half Year Report - 31 December 2025,2922KB,false,OIL,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03060953-3A687989,2026-02-24T22:49:39.000Z,Appendix 4D,223KB,true,OIL,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
OIL,204114846,2924-03050801-3A686192,2026-01-29T22:14:49.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,448KB,true,OIL,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""OIL""}]","[{""symbol"": ""OIL"", ""xid"": ""221285"", ""ASXSecurityType"": 1, ""displayName"": ""OPTISCAN IMAGING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OIL4"", ""xidEntity"": 204114846}]","[""OIL"", """"]"
