ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
OKJ,204275175,2924-03085244-6A1323503,2026-04-30T08:53:24.000Z,Quarterly Activities and Cashflow Report,914KB,true,OKJ,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-03067147-6A1315866,2026-03-11T06:07:32.000Z,Half Year Accounts,1181KB,false,OKJ,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-03055504-6A1311592,2026-02-11T07:57:24.000Z,Change in substantial holding from OKJ,121KB,false,SFM,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""SFM""}, {""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""SFM"", ""xid"": ""37920572"", ""ASXSecurityType"": 1, ""displayName"": ""SANTA FE MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFM9"", ""xidEntity"": 204152569, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SFM"", ""OKJ"", """"]"
OKJ,204275175,2924-03050765-6A1309390,2026-01-29T22:02:54.000Z,Quarterly Activities and Cashflow Report,940KB,true,OKJ,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-03047160-6A1307544,2026-01-19T01:52:40.000Z,Drilling Results From Paynes Find Gold Project,1021KB,true,OKJ,,"[""Progress Report""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-03026736-6A1298510,2025-11-21T08:46:57.000Z,Results of Annual General Meeting,140KB,false,OKJ,,"[""Results of Meeting""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-03016385-6A1294249,2025-10-30T00:00:04.000Z,Quarterly Activities and Cashflow Report,695KB,true,OKJ,,"[""First Quarter Activities Report"", ""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-03012459-6A1292299,2025-10-23T01:29:10.000Z,"Letter to Shareholders, Notice of 2025 AGM and Proxy Form",393KB,false,OKJ,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-03003881-6A1288464,2025-10-05T22:48:01.000Z,Drilling Commences at Paynes Find Gold Project,324KB,true,OKJ,,"[""Progress Report""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
OKJ,204275175,2924-02998546-6A1286002,2025-09-25T07:23:49.000Z,Corporate Governance Statement including Appendix 4G,705KB,false,OKJ,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""OKJ""}]","[{""symbol"": ""OKJ"", ""xid"": ""11129311"", ""ASXSecurityType"": 1, ""displayName"": ""OAKAJEE CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OKJ4"", ""xidEntity"": 204275175}]","[""OKJ"", """"]"
