ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
OLI,411950269,2924-03084687-2A1669072,2026-04-30T00:35:16.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,485KB,true,OLI,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03061147-2A1655949,2026-02-25T04:57:21.000Z,Half Yearly Report and Accounts,706KB,true,OLI,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03046028-2A1648249,2026-01-14T04:50:02.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,479KB,true,OLI,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03037244-2A1642959,2025-12-14T21:53:47.000Z,November 2025 Trading Update,244KB,true,OLI,,"[""Trading Update""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03029423-2A1639072,2025-11-27T03:28:16.000Z,Results of Meeting,186KB,false,OLI,,"[""Results of Meeting""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03029411-2A1639067,2025-11-27T03:06:31.000Z,Chair's Address to Shareholders,249KB,false,OLI,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03027901-2A1638443,2025-11-25T04:03:00.000Z,Appointment of CFO,186KB,false,OLI,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03023060-2A1636146,2025-11-13T22:00:41.000Z,October 2025 Trading Update,244KB,true,OLI,,"[""Trading Update""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03013885-2A1631616,2025-10-26T23:15:44.000Z,Notice of Annual General Meeting/Proxy Form,339KB,false,OLI,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
OLI,411950269,2924-03009091-2A1629702,2025-10-16T02:59:52.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,487KB,true,OLI,,"[""Commitments Test Entity - First Quarter Activity Report"", ""Commitments Test Entity - First Quarter Cashflow Report""]","[{""symbolDisplay"": ""OLI""}]","[{""symbol"": ""OLI"", ""xid"": ""411920751"", ""ASXSecurityType"": 1, ""displayName"": ""OLIVER'S REAL FOOD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000OLI4"", ""xidEntity"": 411950269}]","[""OLI"", """"]"
