ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PGF,234388740,2924-03104797-2A1679980,2026-06-28T23:03:26.000Z,Net Tangible Asset Backing - 26 June 2026,194KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03102332-2A1678412,2026-06-21T23:01:30.000Z,Net Tangible Asset Backing - 19 June 2026,193KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03100111-2A1677354,2026-06-14T23:15:14.000Z,Net Tangible Asset Backing - 12 June 2026,195KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03099205-2A1676918,2026-06-11T00:02:55.000Z,Monthly Report - 31 May 2026,261KB,false,PGF,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03098204-2A1676382,2026-06-08T23:12:01.000Z,Net Tangible Asset Backing - 5 June 2026,194KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03095696-2A1674795,2026-05-31T23:21:26.000Z,Net Tangible Asset Backing - 31 May 2026,77KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03093240-2A1673517,2026-05-24T23:11:19.000Z,Net Tangible Asset Backing - 22 May 2026,79KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03090888-2A1672411,2026-05-17T23:04:47.000Z,Net Tangible Asset Backing - 15 May 2026,260KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03089191-2A1671653,2026-05-12T01:59:45.000Z,Monthly Report - 30 April 2026,253KB,false,PGF,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03088655-2A1671391,2026-05-10T23:11:04.000Z,Net Tangible Asset Backing - 8 May 2026,194KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03086006-2A1669737,2026-05-03T23:11:02.000Z,Net Tangible Asset Backing - 1 May 2026,194KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03082606-2A1668307,2026-04-26T23:03:58.000Z,Net Tangible Asset Backing - 24 April 2026,194KB,false,PGF,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03080931-2A1667540,2026-04-21T05:04:16.000Z,Quarterly Report - 31 March 2026,479KB,false,PGF,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
PGF,234388740,2924-03080422-2A1667305,2026-04-20T01:33:25.000Z,Application for quotation of securities - PGF,14KB,false,PGF,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PGF""}]","[{""symbol"": ""PGF"", ""xid"": ""70172314"", ""ASXSecurityType"": 1, ""displayName"": ""PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PGF7"", ""xidEntity"": 234388740}]","[""PGF"", """"]"
