ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PHX,204246516,2924-03104905-2A1680042,2026-06-28T23:53:56.000Z,Agreement of first work item under Sigma Strategic Alliance,279KB,false,PHX,,"[""Progress Report""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03101043-2A1677800,2026-06-16T23:52:09.000Z,Notice of Investor Presentation,2025KB,false,PHX,,"[""Company Presentation""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03086683-2A1670058,2026-05-05T01:46:43.000Z,Q3 Investor Update FY2026,403KB,false,PHX,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03067954-2A1660078,2026-03-13T00:52:13.000Z,Initial Director's Interest Notice - M Conway,231KB,false,PHX,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03067951-2A1660077,2026-03-13T00:50:13.000Z,Director Appointment,773KB,false,PHX,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03067464-2A1659850,2026-03-11T23:59:14.000Z,Becoming a substantial holder,684KB,false,PHX,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03062024-2A1656439,2026-02-26T05:31:06.000Z,Cleansing Notice,153KB,false,PHX,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03062018-2A1656437,2026-02-26T05:27:21.000Z,Application for quotation of securities - PHX,15KB,false,PHX,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03060710-2A1655686,2026-02-24T21:32:09.000Z,H1 FY26 Investor Presentation,2390KB,true,PHX,,"[""Company Presentation"", ""Top 20 shareholders"", ""Half Yearly Report""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03060694-2A1655683,2026-02-24T21:27:19.000Z,H1 FY26 Results Announcement,811KB,true,PHX,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03060693-2A1655680,2026-02-24T21:26:54.000Z,Half Yearly Reports & Accounts,1626KB,true,PHX,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03059357-2A1654978,2026-02-22T21:47:48.000Z,Proposed issue of securities - PHX,15KB,false,PHX,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03059308-2A1654935,2026-02-22T21:27:18.000Z,Pharmx and Sigma enter multi-year strategic alliance,718KB,true,PHX,,"[""Progress Report""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03052770-2A1651397,2026-02-03T22:13:21.000Z,Notice of Results Announcement - 31 December 2025,921KB,false,PHX,,"[""Notification of Results/Reporting Date""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03021536-2A1635417,2025-11-11T00:52:22.000Z,Results of Annual General Meeting,234KB,false,PHX,,"[""Results of Meeting""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03021421-2A1635349,2025-11-10T22:38:41.000Z,Chairman's Address & CEO Presentation,2796KB,false,PHX,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03021303-2A1635301,2025-11-10T21:26:31.000Z,Pharmx launches new Marketplace platform,809KB,false,PHX,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
PHX,204246516,2924-03006190-2A1628405,2025-10-09T22:43:59.000Z,Notice of Annual General Meeting & Proxy Form,916KB,false,PHX,,"[""Notice of Annual General Meeting"", ""Proxy Form"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""PHX""}]","[{""symbol"": ""PHX"", ""xid"": ""79559"", ""ASXSecurityType"": 1, ""displayName"": ""PHARMX TECHNOLOGIES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000298762"", ""xidEntity"": 204246516}]","[""PHX"", """"]"
