ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PIL,204154061,2924-03084935-6A1323316,2026-04-30T04:48:13.000Z,Application for quotation of securities - PIL,15KB,false,PIL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03084862-6A1323284,2026-04-30T03:44:37.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,495KB,true,PIL,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03082757-6A1322158,2026-04-27T06:50:01.000Z,Results of Meeting,397KB,false,PIL,,"[""Results of Meeting""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03079987-2A1667083,2026-04-17T04:52:24.000Z,Long Term Suspended Entities,325KB,true,ADY,,"[""Other""]","[{""symbolDisplay"": ""ADY""}, {""symbolDisplay"": ""FFG""}, {""symbolDisplay"": ""AQC""}, {""symbolDisplay"": ""HXL""}, {""symbolDisplay"": ""BCB""}, {""symbolDisplay"": ""SCT""}, {""symbolDisplay"": ""WNR""}, {""symbolDisplay"": ""JAY""}, {""symbolDisplay"": ""CMX""}, {""symbolDisplay"": ""SRT""}, {""symbolDisplay"": ""RIL""}, {""symbolDisplay"": ""NNG""}, {""symbolDisplay"": ""KBC""}, {""symbolDisplay"": ""OPN""}, {""symbolDisplay"": ""KOR""}, {""symbolDisplay"": ""BDM""}, {""symbolDisplay"": ""FCG""}, {""symbolDisplay"": ""G6M""}, {""symbolDisplay"": ""PNM""}, {""symbolDisplay"": ""OZZ""}, {""symbolDisplay"": ""MRC""}, {""symbolDisplay"": ""OPT""}, {""symbolDisplay"": ""GTG""}, {""symbolDisplay"": ""YOW""}, {""symbolDisplay"": ""CTD""}, {""symbolDisplay"": ""NRZ""}, {""symbolDisplay"": ""PIL""}, {""symbolDisplay"": ""PPG""}, {""symbolDisplay"": ""HCD""}, {""symbolDisplay"": ""CL8""}, {""symbolDisplay"": ""VIG""}, {""symbolDisplay"": ""NTM""}, {""symbolDisplay"": ""CLZ""}, {""symbolDisplay"": ""SIV""}, {""symbolDisplay"": ""AMD""}, {""symbolDisplay"": ""MPR""}, {""symbolDisplay"": ""UCM""}, {""symbolDisplay"": ""UBI""}, {""symbolDisplay"": ""ENN""}, {""symbolDisplay"": ""GCR""}, {""symbolDisplay"": ""ICU""}, {""symbolDisplay"": ""CAQ""}]","[{""symbol"": ""ADY"", ""xid"": ""39160"", ""ASXSecurityType"": 1, ""displayName"": ""ADMIRALTY RESOURCES NL."", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000ADY7"", ""xidEntity"": 204208522, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""ADY"", ""FFG"", ""AQC"", ""HXL"", ""BCB"", ""SCT"", ""WNR"", ""JAY"", ""CMX"", ""SRT"", ""RIL"", ""NNG"", ""KBC"", ""OPN"", ""KOR"", ""BDM"", ""FCG"", ""G6M"", ""PNM"", ""OZZ"", ""MRC"", ""OPT"", ""GTG"", ""YOW"", ""CTD"", ""NRZ"", ""PIL"", ""PPG"", ""HCD"", ""CL8"", ""VIG"", ""NTM"", ""CLZ"", ""SIV"", ""AMD"", ""MPR"", ""UCM"", ""UBI"", ""ENN"", ""GCR"", ""ICU"", ""CAQ"", """"]"
PIL,204154061,2924-03073169-6A1318315,2026-03-27T09:00:41.000Z,Notice of General Meeting/Proxy Form,421KB,false,PIL,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03070924-6A1317379,2026-03-22T22:11:30.000Z,Half Yearly Report and Accounts,723KB,true,PIL,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03065168-6A1315045,2026-03-05T08:16:42.000Z,Application for quotation of securities - PIL,15KB,false,PIL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03065025-6A1314989,2026-03-05T02:32:00.000Z,Update - Proposed issue of securities - PIL,15KB,false,PIL,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03065019-6A1314986,2026-03-05T02:22:25.000Z,Update - Proposed issue of securities - PIL,15KB,false,PIL,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
PIL,204154061,2924-03064826-6A1314879,2026-03-04T22:12:13.000Z,Proposed issue of securities - PIL,15KB,false,PIL,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""PIL""}]","[{""symbol"": ""PIL"", ""xid"": ""11193898"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPERMINT INNOVATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIL1"", ""xidEntity"": 204154061, ""industryGroup"": ""Software & Services"", ""industry"": ""Software"", ""subIndustry"": ""Application Software""}]","[""PIL"", """"]"
