ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PIQ,235324057,2924-03096720-3A694642,2026-06-02T23:59:50.000Z,Application for Quotation of Securities - PIQ,384KB,false,PIQ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03087806-3A692911,2026-05-07T03:18:01.000Z,Response to ASX Price Query,306KB,true,PIQ,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03085483-3A692484,2026-05-01T00:07:30.000Z,Notification of Expiry of Listed Options - PIQO,988KB,false,PIQ,,"[""Issued Capital - Other"", ""Company Administration - Other"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03082983-3A692061,2026-04-27T23:13:28.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,535KB,true,PIQ,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03082949-3A692055,2026-04-27T22:59:32.000Z,Proteomics Strategic Plan,2935KB,true,PIQ,,"[""Company Presentation""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03079981-3A691573,2026-04-17T04:37:29.000Z,Final Director's Interest Notice,280KB,false,PIQ,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03079817-3A691545,2026-04-16T23:21:52.000Z,"Restructure, Executive Appointment and Board Update",219KB,true,PIQ,,"[""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03060741-3A687942,2026-02-24T21:43:54.000Z,Appendix 4D and Interim Financial Report,1365KB,true,PIQ,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03059756-3A687753,2026-02-23T05:32:54.000Z,Final Director's Interest Notice,525KB,false,PIQ,,"[""Final Director's Interest Notice"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
PIQ,235324057,2924-03053244-3A686546,2026-02-04T22:11:30.000Z,Resignation of Joint Company Secretary,243KB,false,PIQ,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""PIQ""}]","[{""symbol"": ""PIQ"", ""xid"": ""80536810"", ""ASXSecurityType"": 1, ""displayName"": ""PROTEOMICS INTERNATIONAL LABORATORIES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PIQ0"", ""xidEntity"": 235324057}]","[""PIQ"", """"]"
