ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PLG,671528003,2924-03096321-6A1327960,2026-06-02T04:18:18.000Z,Change of Director's Interest Notice (x2) - Lapse of Options,491KB,false,PLG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03096229-6A1327923,2026-06-02T00:07:17.000Z,Notification of cessation of securities - PLG,12KB,false,PLG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03084899-6A1323305,2026-04-30T04:27:22.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,604KB,true,PLG,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03068933-6A1316637,2026-03-16T07:42:17.000Z,Half Year Financial Report - 31 December 2025,547KB,false,PLG,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03065175-6A1315009,2026-03-05T08:32:22.000Z,Company Update,369KB,true,PLG,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03065101-6A1315007,2026-03-05T05:52:06.000Z,Suspension from Quotation,82KB,true,PLG,,"[""Suspension from Official Quotation""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03054510-6A1311170,2026-02-09T05:39:45.000Z,Notification of cessation of securities - PLG,12KB,false,PLG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03049804-6A1308842,2026-01-28T06:37:15.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,540KB,true,PLG,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03040865-6A1304943,2025-12-22T22:09:57.000Z,Pearl Gull Completes Sale of Cockatoo Island Project,362KB,true,PLG,,"[""Asset Disposal""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
PLG,671528003,2924-03019285-6A1295613,2025-11-05T03:27:07.000Z,Results of Annual General Meeting,461KB,false,PLG,,"[""Results of Meeting""]","[{""symbolDisplay"": ""PLG""}]","[{""symbol"": ""PLG"", ""xid"": ""673247542"", ""ASXSecurityType"": 1, ""displayName"": ""PEARL GULL IRON LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000168635"", ""xidEntity"": 671528003}]","[""PLG"", """"]"
