ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PNI,204271542,2924-03105132-2A1680160,2026-06-29T07:20:27.000Z,Notification regarding unquoted securities - PNI,15KB,false,PNI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03103512-2A1679105,2026-06-24T07:06:54.000Z,Notification of buy-back - PNI,12KB,false,PNI,,"[""Employee Share Scheme Buy-Back""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03103507-2A1679098,2026-06-24T07:00:39.000Z,Buy-Back of Employee Loan Back Shares,230KB,false,PNI,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03102028-2A1678275,2026-06-19T06:10:10.000Z,Change of Director's Interest Notice,178KB,false,PNI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03089328-2A1671711,2026-05-12T07:07:27.000Z,Notification regarding unquoted securities - PNI,15KB,false,PNI,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03089317-2A1671708,2026-05-12T06:47:47.000Z,Application for quotation of securities - PNI,17KB,false,PNI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03086308-2A1669887,2026-05-04T06:53:01.000Z,Acquisition of additional 6.80% of equity in Metrics,250KB,true,PNI,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03086289-2A1669872,2026-05-04T06:38:16.000Z,Presentation - Macquarie Australia Conference,3669KB,false,PNI,,"[""Company Presentation""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03083289-2A1668566,2026-04-28T06:39:30.000Z,Becoming a substantial holder,2915KB,false,PNI,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
PNI,204271542,2924-03082396-2A1668208,2026-04-24T06:33:23.000Z,Application for quotation of securities - PNI,15KB,false,PNI,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PNI""}]","[{""symbol"": ""PNI"", ""xid"": ""7650935"", ""ASXSecurityType"": 1, ""displayName"": ""PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNI7"", ""xidEntity"": 204271542, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""PNI"", """"]"
