ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PNN,204283031,2924-03104415-2A1679793,2026-06-26T04:13:18.000Z,Section 708(A) Cleansing Notice - Option Issue,273KB,false,PNN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03104408-2A1679784,2026-06-26T04:03:38.000Z,Section 708(A) Cleansing Notice - Share Issue,273KB,false,PNN,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03104393-2A1679777,2026-06-26T03:29:38.000Z,Application for quotation of securities - PNN,17KB,false,PNN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03104391-2A1679776,2026-06-26T03:27:08.000Z,Application for quotation of securities - PNN,19KB,false,PNN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03104389-2A1679775,2026-06-26T03:22:13.000Z,Application for quotation of securities - PNN,16KB,false,PNN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03104387-2A1679774,2026-06-26T03:19:58.000Z,Application for quotation of securities - PNN,16KB,false,PNN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03104386-2A1679773,2026-06-26T03:15:48.000Z,Application for quotation of securities - PNN,20KB,false,PNN,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03102445-2A1678465,2026-06-22T00:22:25.000Z,Investor Webinar - Morro do Ferro Rare Earth Project,239KB,false,PNN,,"[""Web Cast""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03102251-2A1678368,2026-06-21T22:17:10.000Z,MDF ADVANCING TO PREMIUM MAGNET RARE EARTH DEVELOPMENT,1183KB,true,PNN,,"[""Progress Report""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
PNN,204283031,2924-03101443-2A1678010,2026-06-17T23:21:24.000Z,STRATEGIC $1.7M SECURED FROM RESOURCES INVESTMENT FUND,426KB,true,PNN,,"[""Placement"", ""Issued Capital - Other""]","[{""symbolDisplay"": ""PNN""}]","[{""symbol"": ""PNN"", ""xid"": ""1598574"", ""ASXSecurityType"": 1, ""displayName"": ""POWER MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNN7"", ""xidEntity"": 204283031}]","[""PNN"", """"]"
