ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PNR,204169818,2924-03104547-6A1331223,2026-06-26T06:57:43.000Z,Change in substantial holding,181KB,false,PNR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03103489-6A1330837,2026-06-24T06:38:19.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03103008-6A1330616,2026-06-23T06:40:44.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03102594-6A1330437,2026-06-22T07:13:42.000Z,Ceasing to be a substantial holder,242KB,false,PNR,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03102565-6A1330420,2026-06-22T06:40:11.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03102074-6A1330218,2026-06-19T07:00:36.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03100570-6A1329612,2026-06-15T23:20:19.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03100335-6A1329512,2026-06-15T06:45:02.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03100331-6A1329509,2026-06-15T06:36:17.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03099374-6A1329150,2026-06-11T06:23:03.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03098907-6A1328954,2026-06-10T06:49:59.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03098453-6A1328770,2026-06-09T06:35:54.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03097867-6A1328525,2026-06-05T07:12:06.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
PNR,204169818,2924-03097370-6A1328360,2026-06-04T06:33:57.000Z,Update - Notification of buy-back - PNR,15KB,false,PNR,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""PNR""}]","[{""symbol"": ""PNR"", ""xid"": ""22065685"", ""ASXSecurityType"": 1, ""displayName"": ""PANTORO GOLD LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PNR8"", ""xidEntity"": 204169818}]","[""PNR"", """"]"
