ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PPM,658553350,2924-03098886-2A1676762,2026-06-10T06:22:53.000Z,Application for quotation of securities - PPM,18KB,false,PPM,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PPM""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", """"]"
PPM,658553350,2924-03080432-2A1667313,2026-04-20T02:14:00.000Z,Results of Meeting,60KB,false,PPM,,"[""Results of Meeting""]","[{""symbolDisplay"": ""PPM""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", """"]"
PPM,658553350,2924-03080409-2A1667296,2026-04-20T00:37:34.000Z,Annual General Meeting - Presentation,2720KB,false,PPM,,"[""Company Presentation"", ""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""PPM""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", """"]"
PPM,658553350,2924-03080408-2A1667295,2026-04-20T00:37:04.000Z,Annual General Meeting - Chair and CEO Address,640KB,false,PPM,,"[""Chair's Address to Shareholders""]","[{""symbolDisplay"": ""PPM""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", """"]"
PPM,658553350,2924-03074825-2A1663873,2026-04-01T05:30:11.000Z,Change in substantial holding,213KB,false,PPM,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""PPM""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", """"]"
PPM,658553350,2924-03072626-2A1662643,2026-03-26T07:35:47.000Z,Update - Dividend/Distribution - PPM,13KB,false,PPM,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""PPM""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", """"]"
PPM,658553350,2924-03071769-2A1662191,2026-03-24T21:44:04.000Z,Update on non-binding offer for Pepper Money,141KB,true,CGF,,"[""Takeover - Other""]","[{""symbolDisplay"": ""CGF""}, {""symbolDisplay"": ""PPM""}]","[{""symbol"": ""CGF"", ""xid"": ""73885"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CGF5"", ""xidEntity"": 204249864, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Financial Services"", ""subIndustry"": ""Diversified Financial Services""}]","[""CGF"", ""PPM"", """"]"
PPM,658553350,2924-03071764-2A1662180,2026-03-24T21:38:54.000Z,Cessation of Discussions with Challenger,273KB,true,PPM,,"[""Takeover - Other"", ""Dividend Rate"", ""Takeover - Timer Applied""]","[{""symbolDisplay"": ""PPM""}, {""symbolDisplay"": ""CGF""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", ""CGF"", """"]"
PPM,658553350,2924-03071147-2A1661834,2026-03-23T05:24:43.000Z,Notice of Annual General Meeting/Proxy Form,882KB,false,PPM,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""PPM""}]","[{""symbol"": ""PPM"", ""xid"": ""658540994"", ""ASXSecurityType"": 1, ""displayName"": ""PEPPER MONEY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150898"", ""xidEntity"": 658553350}]","[""PPM"", """"]"
PPM,658553350,2924-03069193-2A1660806,2026-03-16T22:50:33.000Z,Revised non-binding offer for Pepper Money,94KB,true,CGF,,"[""Scheme of Arrangement"", ""Indicative Non-Binding Proposal"", ""Variation of Takeover Bid"", ""Dividend - Other""]","[{""symbolDisplay"": ""CGF""}, {""symbolDisplay"": ""PPM""}]","[{""symbol"": ""CGF"", ""xid"": ""73885"", ""ASXSecurityType"": 1, ""displayName"": ""CHALLENGER LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000CGF5"", ""xidEntity"": 204249864, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Financial Services"", ""subIndustry"": ""Diversified Financial Services""}]","[""CGF"", ""PPM"", """"]"
