ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PPY,204127132,2924-03105440-2A1680565,2026-06-29T23:37:45.000Z,Monthly Activities/Appendix 4C Cash Flow Report,932KB,true,PPY,,"[""Commitments Test Entity Quarterly Cashflow Reports - Other""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03105196-2A1680197,2026-06-29T08:49:02.000Z,Cleansing Notice,345KB,false,PPY,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03105195-2A1680192,2026-06-29T08:48:47.000Z,Notification regarding unquoted securities - PPY,17KB,false,PPY,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03105194-2A1680196,2026-06-29T08:47:47.000Z,Notification regarding unquoted securities - PPY,19KB,false,PPY,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03105176-2A1680191,2026-06-29T08:25:12.000Z,Application for quotation of securities - PPY,15KB,false,PPY,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03103436-2A1679049,2026-06-24T04:21:23.000Z,Results of 2026 Extraordinary General Meeting,455KB,false,PPY,,"[""Results of Meeting""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03099539-2A1677061,2026-06-11T22:46:09.000Z,Update to Venue of Extraordinary General Meeting,290KB,false,PPY,,"[""Alteration to Notice of Meeting""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03095192-2A1674550,2026-05-29T02:44:07.000Z,Monthly Activities/Appendix 4C Cash Flow Report,622KB,true,PPY,,"[""Commitments Test Entity Quarterly Cashflow Reports - Other""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03092736-2A1673311,2026-05-21T23:08:30.000Z,Notice of Extraordinary General Meeting/Proxy Form,766KB,false,PPY,,"[""Notice of Extraordinary General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03092399-2A1673147,2026-05-20T23:55:31.000Z,TBS Milestone Update - Delivery of Product Samples,340KB,true,PPY,,"[""Progress Report""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03087829-2A1670941,2026-05-07T04:17:17.000Z,Notification of cessation of securities - PPY,12KB,false,PPY,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03083901-2A1668792,2026-04-29T04:17:49.000Z,Cleansing Notice,160KB,false,PPY,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
PPY,204127132,2924-03083898-2A1668791,2026-04-29T04:12:04.000Z,Notification regarding unquoted securities - PPY,18KB,false,PPY,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PPY""}]","[{""symbol"": ""PPY"", ""xid"": ""1598575"", ""ASXSecurityType"": 1, ""displayName"": ""PAPYRUS AUSTRALIA LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PPY9"", ""xidEntity"": 204127132}]","[""PPY"", """"]"
