ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PSL,204167461,2924-03101690-6A1330068,2026-06-18T09:07:52.000Z,Change of Director's Interest Notice,197KB,false,PSL,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03101689-6A1330067,2026-06-18T09:07:32.000Z,Cleansing Statement,216KB,false,PSL,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03101688-6A1330066,2026-06-18T09:04:02.000Z,Application for quotation of securities - PSL,18KB,false,PSL,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03096613-6A1328087,2026-06-02T23:03:00.000Z,"Significant MRE Update to 200,000oz Au at Grace Gold Project",1590KB,true,PSL,,"[""Progress Report""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03084080-6A1322851,2026-04-29T08:18:05.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,799KB,true,PSL,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03083175-6A1322382,2026-04-28T02:47:24.000Z,Initial Director's Interest Notice,158KB,false,PSL,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03082275-6A1321932,2026-04-24T02:00:42.000Z,Final Director's Interest Notice,149KB,false,PSL,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03082185-6A1321890,2026-04-23T23:39:21.000Z,Board Changes,161KB,false,PSL,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03072390-6A1317992,2026-03-25T22:47:33.000Z,Phase I Assays Continue to Shine,1469KB,true,PSL,,"[""Progress Report""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
PSL,204167461,2924-03068732-6A1316544,2026-03-16T02:45:45.000Z,Half Yearly Report and Accounts,772KB,false,PSL,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""PSL""}]","[{""symbol"": ""PSL"", ""xid"": ""5336533"", ""ASXSecurityType"": 1, ""displayName"": ""PATERSON RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000072019"", ""xidEntity"": 204167461}]","[""PSL"", """"]"
