ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PTR,204216330,2924-03105782-2A1680822,2026-06-30T08:03:56.000Z,Change of Director's Interest Notice x2,297KB,false,PTR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
PTR,204216330,2924-03105523-2A1680663,2026-06-30T01:53:45.000Z,Application for quotation of securities - PTR,15KB,false,PTR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
PTR,204216330,2924-03102820-2A1678710,2026-06-22T23:16:24.000Z,Rosewood Titanium Project Maiden Mineral Resource Estimate,2777KB,true,PTR,,"[""Progress Report""]","[{""symbolDisplay"": ""PTR""}, {""symbolDisplay"": ""NYM""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", ""NYM"", """"]"
PTR,204216330,2924-03096353-2A1675126,2026-06-02T05:29:43.000Z,Final Director's Interest Notice,207KB,false,PTR,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
PTR,204216330,2924-03087191-2A1670433,2026-05-06T00:23:51.000Z,Amended Announcement,1990KB,false,PTR,,"[""Progress Report""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
PTR,204216330,2924-03087099-2A1670381,2026-05-05T23:16:06.000Z,Final Assays from Rosewood East Received,1470KB,true,PTR,,"[""Progress Report""]","[{""symbolDisplay"": ""PTR""}, {""symbolDisplay"": ""NYM""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", ""NYM"", """"]"
PTR,204216330,2924-03087072-2A1670382,2026-05-05T23:06:21.000Z,RIU Sydney Resources Round-up Presentation,2610KB,false,PTR,,"[""Company Presentation""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
PTR,204216330,2924-03083744-2A1668725,2026-04-28T23:43:02.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,784KB,true,PTR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
PTR,204216330,2924-03080568-2A1667388,2026-04-20T08:09:28.000Z,Notification regarding unquoted securities - PTR,17KB,false,PTR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
PTR,204216330,2924-03077497-2A1665699,2026-04-09T23:44:21.000Z,Strategic Appointments and Board Update,208KB,false,PTR,,"[""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""PTR""}]","[{""symbol"": ""PTR"", ""xid"": ""235490"", ""ASXSecurityType"": 1, ""displayName"": ""PTR MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000PTR5"", ""xidEntity"": 204216330}]","[""PTR"", """"]"
