ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
PXA,664250900,2924-03105709-3A696278,2026-06-30T06:54:16.000Z,Initial Director's Interest Notice - John Hooper,230KB,false,PXA,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03105687-3A696275,2026-06-30T06:30:21.000Z,Change in substantial holding,293KB,false,PXA,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03105371-3A696227,2026-06-29T22:59:50.000Z,PEXA Announces Leadership Changes for PEXA UK,166KB,false,PXA,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03103717-3A695943,2026-06-24T23:00:27.000Z,PEXA appoints new Non Executive Directors,162KB,false,PXA,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03103389-3A695880,2026-06-24T02:16:38.000Z,Ceasing to be a substantial holder,537KB,false,PXA,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03102966-3A695812,2026-06-23T05:01:59.000Z,Change in substantial holding,1272KB,false,PXA,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03097732-3A694828,2026-06-05T02:14:54.000Z,Notification of cessation of securities - PXA,14KB,false,PXA,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03096828-3A694658,2026-06-03T04:27:57.000Z,Notification regarding unquoted securities - PXA,15KB,false,PXA,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03096435-3A694579,2026-06-02T07:32:19.000Z,Revision of timeline for IPART's ELNO fee review,157KB,false,PXA,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03094834-3A694232,2026-05-28T06:47:59.000Z,Appointment of Group Chief Financial Officer,324KB,false,PXA,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03086284-3A692628,2026-05-04T06:35:30.000Z,PEXA 3Q26 Update,278KB,true,PXA,,"[""Profit Guidance"", ""Trading Update""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03086280-3A692626,2026-05-04T06:28:41.000Z,Final Director's Interest Notice - Helen Silver,214KB,false,PXA,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03078662-3A691318,2026-04-14T06:29:44.000Z,Notification of cessation of securities - PXA,15KB,false,PXA,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03078097-3A691213,2026-04-13T01:55:22.000Z,Notification regarding unquoted securities - PXA,14KB,false,PXA,,"[""Appendix 3G""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
PXA,664250900,2924-03076649-3A690976,2026-04-08T06:36:46.000Z,Becoming a substantial holder,299KB,false,PXA,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""PXA""}]","[{""symbol"": ""PXA"", ""xid"": ""664248521"", ""ASXSecurityType"": 1, ""displayName"": ""PEXA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000158594"", ""xidEntity"": 664250900}]","[""PXA"", """"]"
