ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
QEM,488157148,2924-03106245-6A1331890,2026-07-01T00:16:55.000Z,Extension of Due Diligence for Acquisition of U.S. Projects,416KB,false,QEM,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03100360-6A1329524,2026-06-15T07:13:33.000Z,Change in substantial holding,439KB,false,QEM,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03099349-6A1329143,2026-06-11T05:49:03.000Z,Cleansing Notice,272KB,false,QEM,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03099337-6A1329137,2026-06-11T05:18:52.000Z,Application for quotation of securities - QEM,15KB,false,QEM,,"[""Appendix 2A""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03095895-6A1327803,2026-06-01T06:11:29.000Z,Placement Cleansing Notice,272KB,false,QEM,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03095893-6A1327801,2026-06-01T06:08:39.000Z,Application for quotation of securities - QEM,15KB,false,QEM,,"[""Appendix 2A""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03094843-6A1327400,2026-05-28T07:08:19.000Z,Update - Proposed issue of securities - QEM,16KB,false,QEM,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03094822-6A1327396,2026-05-28T06:39:04.000Z,Extension of Due Diligence for Acquisition of U.S. Projects,429KB,true,QEM,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03089252-6A1325142,2026-05-12T05:16:11.000Z,Placement Cleansing Notice,271KB,false,QEM,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03089250-6A1325141,2026-05-12T05:11:21.000Z,Application for quotation of securities - QEM,15KB,false,QEM,,"[""Appendix 2A""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03083962-6A1322788,2026-04-29T05:53:14.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1650KB,true,QEM,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03078989-6A1320533,2026-04-15T00:37:00.000Z,Critical Minerals Acquisition Presentation,936KB,false,QEM,,"[""Company Presentation""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
QEM,488157148,2924-03078969-6A1320525,2026-04-14T23:59:50.000Z,Proposed issue of securities - QEM,15KB,false,QEM,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""QEM""}]","[{""symbol"": ""QEM"", ""xid"": ""495295490"", ""ASXSecurityType"": 1, ""displayName"": ""QEM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000022246"", ""xidEntity"": 488157148}]","[""QEM"", """"]"
