ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
RAS,204181088,2924-03101325-2A1677926,2026-06-17T22:19:53.000Z,Ragusa Completes PTEL Transaction,1023KB,true,RAS,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03092639-2A1673266,2026-05-21T22:16:14.000Z,Purple Pansy Mn-Au Project Update - IP Survey Works Started,697KB,true,RAS,,"[""Progress Report""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03083401-2A1668620,2026-04-28T22:10:16.000Z,Quarterly Activities & Cashflow Report - March 2026,1255KB,true,RAS,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03082817-2A1668392,2026-04-27T22:15:47.000Z,Purple Pansy Project High Grade Mn & Au Rock Sample Results,1161KB,true,RAS,,"[""Progress Report""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03080031-2A1667126,2026-04-17T06:09:04.000Z,Final Director's Interest Notice,143KB,false,RAS,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03080030-2A1667125,2026-04-17T06:08:44.000Z,Initial Director's Interest Notice,144KB,false,RAS,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03077856-2A1666020,2026-04-12T22:23:11.000Z,Company Update,2309KB,true,RAS,,"[""Progress Report"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03067170-2A1659732,2026-03-11T06:21:07.000Z,Half Year Accounts,955KB,false,RAS,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03064729-2A1658010,2026-03-04T21:22:23.000Z,PurplePansy Project Site Visit Confirms High Grade Manganese,3563KB,true,RAS,,"[""Progress Report""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03050521-2A1650454,2026-01-29T08:37:49.000Z,Cleansing Notice,316KB,false,RAS,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
RAS,204181088,2924-03050520-2A1650453,2026-01-29T08:35:24.000Z,Application for quotation of securities - RAS,15KB,false,RAS,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RAS""}]","[{""symbol"": ""RAS"", ""xid"": ""25223544"", ""ASXSecurityType"": 1, ""displayName"": ""RAGUSA MINERALS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000107898"", ""xidEntity"": 204181088}]","[""RAS"", """"]"
