ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
RC1,199003199,2924-03100526-6A1329591,2026-06-15T22:51:09.000Z,Completion of Strategic Kilkenny Belt Acquisition,403KB,false,RC1,,"[""Progress Report""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03100386-6A1329535,2026-06-15T08:10:53.000Z,Cleansing Statement,308KB,false,RC1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03100385-6A1329534,2026-06-15T08:08:18.000Z,Application for quotation of securities - RC1,15KB,false,RC1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03100055-6A1329408,2026-06-14T22:51:44.000Z,High-Grade RR and QA Results Support Active Mining Strategy,5486KB,true,RC1,,"[""Progress Report""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03094753-6A1327364,2026-05-28T04:00:38.000Z,Cleansing Statement,306KB,false,RC1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03094751-6A1327363,2026-05-28T03:57:18.000Z,Application for quotation of securities - RC1,15KB,false,RC1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03094052-6A1327079,2026-05-26T22:48:12.000Z,Continuous Mining Operations Underway at Redcastle Reef,1164KB,true,RC1,,"[""Progress Report""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03093212-6A1326749,2026-05-24T22:54:58.000Z,Queen Alexandra Grade Control Drilling Completed,1202KB,false,RC1,,"[""Progress Report""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03091853-6A1326205,2026-05-19T23:15:41.000Z,Proposed issue of securities - RC1,16KB,false,RC1,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
RC1,199003199,2924-03091852-6A1326201,2026-05-19T23:15:31.000Z,Placement to Raise A$2 million,183KB,true,RC1,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""RC1""}]","[{""symbol"": ""RC1"", ""xid"": ""792459623"", ""ASXSecurityType"": 1, ""displayName"": ""REDCASTLE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000199051"", ""xidEntity"": 199003199}]","[""RC1"", """"]"
