ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
RCR,628179866,2924-03105996-6A1331810,2026-06-30T22:24:14.000Z,West Arunta Joint Venture,704KB,true,RCR,,"[""Asset Disposal"", ""Progress Report""]","[{""symbolDisplay"": ""RCR""}, {""symbolDisplay"": ""M96""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", ""M96"", """"]"
RCR,628179866,2924-03105989-6A1331789,2026-06-30T22:22:59.000Z,Acquisition of Additional Tenements in West Arunta Region,1219KB,true,M96,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""M96""}, {""symbolDisplay"": ""RCR""}]","[{""symbol"": ""M96"", ""xid"": ""9231397"", ""ASXSecurityType"": 1, ""displayName"": ""MAVERICK MINERALS AUSTRALIA LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000475568"", ""xidEntity"": 204173764, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""M96"", ""RCR"", """"]"
RCR,628179866,2924-03102292-6A1330329,2026-06-21T22:39:00.000Z,Drill Rig Secured for Telfer South Project,1067KB,false,RCR,,"[""Progress Report""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
RCR,628179866,2924-03090144-6A1325507,2026-05-14T03:59:39.000Z,Change of Director's Interest Notice x4,2207KB,false,RCR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
RCR,628179866,2924-03089347-6A1325189,2026-05-12T07:25:02.000Z,Cleansing Statement,390KB,false,RCR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
RCR,628179866,2924-03089344-6A1325188,2026-05-12T07:22:42.000Z,Notification regarding unquoted securities - RCR,16KB,false,RCR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
RCR,628179866,2924-03089342-6A1325187,2026-05-12T07:21:52.000Z,Notification regarding unquoted securities - RCR,17KB,false,RCR,,"[""Appendix 3G""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
RCR,628179866,2924-03089337-6A1325185,2026-05-12T07:19:12.000Z,Application for quotation of securities - RCR,15KB,false,RCR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
RCR,628179866,2924-03088611-6A1324895,2026-05-10T22:53:04.000Z,Major Geophysical Target Identified Under Hasties Au-Cu Zone,2283KB,true,RCR,,"[""Progress Report""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
RCR,628179866,2924-03085575-6A1323619,2026-05-01T03:41:56.000Z,Results of Meeting,575KB,false,RCR,,"[""Results of Meeting""]","[{""symbolDisplay"": ""RCR""}]","[{""symbol"": ""RCR"", ""xid"": ""628142608"", ""ASXSecurityType"": 1, ""displayName"": ""RINCON RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000116352"", ""xidEntity"": 628179866}]","[""RCR"", """"]"
