ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
REG,235155894,2924-03103994-3A695988,2026-06-25T06:43:54.000Z,Notification regarding unquoted securities - REG,15KB,false,REG,,"[""Appendix 3G""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03102848-3A695790,2026-06-22T23:32:34.000Z,Notification of cessation of securities - REG,12KB,false,REG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03101853-3A695630,2026-06-18T23:38:43.000Z,Final Director's Interest Notice,208KB,false,REG,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03087752-3A692894,2026-05-07T01:19:21.000Z,Change of Director's Interest Notice,217KB,false,REG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03084473-3A692293,2026-04-29T23:18:46.000Z,Regis expects underlying EBITDA at top end of guidance,252KB,true,REG,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03083567-3A692150,2026-04-28T22:39:02.000Z,Appointment of Andrew Kinkade as Managing Director and CEO,231KB,true,REG,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03078674-3A691319,2026-04-14T06:45:29.000Z,Becoming a substantial holder,568KB,false,REG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03067107-3A689223,2026-03-11T05:16:01.000Z,Notification of cessation of securities - REG,12KB,false,REG,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03064474-3A688752,2026-03-04T01:13:40.000Z,Change of Director's Interest Notice,409KB,false,REG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
REG,235155894,2924-03059427-3A687675,2026-02-22T22:21:57.000Z,Dividend/Distribution - REG,13KB,false,REG,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REG""}]","[{""symbol"": ""REG"", ""xid"": ""79146127"", ""ASXSecurityType"": 1, ""displayName"": ""REGIS HEALTHCARE LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000REG6"", ""xidEntity"": 235155894}]","[""REG"", """"]"
