ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
REP,684212002,2924-03103438-2A1679051,2026-06-24T04:25:04.000Z,Dividend/Distribution - REP,15KB,false,REP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03103435-2A1679048,2026-06-24T04:17:33.000Z,Dividend Details - updated,279KB,true,REP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03103428-2A1679042,2026-06-24T03:52:33.000Z,Dividend Details,279KB,true,REP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03091992-2A1672942,2026-05-20T02:15:22.000Z,Company Secretary Appointment/Resignation,178KB,false,REP,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03078507-2A1666372,2026-04-14T01:09:32.000Z,Dividend Details,289KB,false,REP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03071111-2A1661785,2026-03-23T03:46:37.000Z,Dividend Details,279KB,true,REP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03071099-2A1661774,2026-03-23T03:07:27.000Z,Dividend/Distribution - REP,15KB,true,REP,,"[""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03061751-2A1656299,2026-02-25T22:34:23.000Z,Half Year Accounts,5349KB,true,REP,,"[""Company Presentation"", ""Half Yearly Report""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03061750-2A1656282,2026-02-25T22:34:18.000Z,Results Announcement,194KB,true,REP,,"[""Half Yearly Report""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
REP,684212002,2924-03061744-2A1656279,2026-02-25T22:32:53.000Z,Half Yearly Report and Accounts,1116KB,true,REP,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""REP""}]","[{""symbol"": ""REP"", ""xid"": ""684224736"", ""ASXSecurityType"": 6, ""displayName"": ""RAM ESSENTIAL SERVICES PROPERTY FUND"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000180317"", ""xidEntity"": 684212002}]","[""REP"", """"]"
