ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
REV,1008498111,2924-03104474-3A696075,2026-06-26T05:56:53.000Z,Update - Notification of buy-back - REV,18KB,false,REV,,"[""Final Buy-Back Notice""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03104461-3A696072,2026-06-26T05:40:08.000Z,Dividend/Distribution - REV,16KB,true,REV,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03103361-3A695868,2026-06-24T01:45:58.000Z,Weekly Estimate NTA for 23.06.2026,251KB,false,REV,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03103346-3A695865,2026-06-24T01:04:53.000Z,Investment Report - May 2026,180KB,false,REV,,"[""Periodic Reports - Other"", ""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03101105-3A695480,2026-06-17T02:15:00.000Z,Weekly Estimate NTA for 16.06.2026,122KB,false,REV,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03101074-3A695471,2026-06-17T00:47:29.000Z,Application for quotation of securities - REV,14KB,false,REV,,"[""Appendix 2A""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03098915-3A695047,2026-06-10T07:10:54.000Z,Update - Dividend/Distribution - REV,344KB,true,REV,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03098827-3A695034,2026-06-10T02:12:17.000Z,Weekly Estimate NTA for 09.06.2026,257KB,false,REV,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03098791-3A695024,2026-06-10T00:33:01.000Z,Monthly Estimate NTA for May 2026,256KB,false,REV,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
REV,1008498111,2924-03096851-3A694664,2026-06-03T05:26:52.000Z,Weekly Estimate NTA for 02.06.2026,257KB,false,REV,,"[""Net Tangible Asset Backing""]","[{""symbolDisplay"": ""REV""}]","[{""symbol"": ""REV"", ""xid"": ""1008470217"", ""ASXSecurityType"": 6, ""displayName"": ""REVOLUTION PRIVATE CREDIT INCOME TRUST"", ""issueType"": ""UT"", ""issueTypeName"": ""Unit Trust Fund"", ""issueTypeCode"": 6, ""isin"": ""AU0000414286"", ""xidEntity"": 1008498111}]","[""REV"", """"]"
