ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
RKB,204234215,2924-03103929-6A1330996,2026-06-25T04:43:08.000Z,Change of Director's Interest Notice x 2,264KB,false,RKB,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03103903-6A1330981,2026-06-25T03:20:28.000Z,Notification regarding unquoted securities - RKB,16KB,false,RKB,,"[""Appendix 3G""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03102472-6A1330386,2026-06-22T01:33:36.000Z,Company Secretary Appointment/Resignation,149KB,false,RKB,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101987-6A1330189,2026-06-19T04:27:45.000Z,Cleansing Notice,241KB,false,RKB,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101985-6A1330188,2026-06-19T04:24:25.000Z,Application for quotation of securities - RKB,15KB,false,RKB,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101273-6A1329882,2026-06-17T08:31:07.000Z,Change of Director's Interest Notice,399KB,false,RKB,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101271-6A1329881,2026-06-17T08:26:32.000Z,Final Director's Interest Notice,283KB,false,RKB,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101267-6A1329878,2026-06-17T08:22:57.000Z,Initial Director's Interest Notice x 3,318KB,false,RKB,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101223-6A1329852,2026-06-17T07:10:22.000Z,Cleansing Notice,242KB,false,RKB,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101215-6A1329850,2026-06-17T07:02:37.000Z,Application for quotation of securities - RKB,18KB,false,RKB,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03101001-6A1329773,2026-06-16T23:19:09.000Z,Leadership and Board Appointments,254KB,true,RKB,,"[""Chair Appointment/Resignation"", ""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03100427-6A1329551,2026-06-15T22:15:19.000Z,Cleansing Notice,241KB,false,RKB,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03100426-6A1329550,2026-06-15T22:15:04.000Z,Application for quotation of securities - RKB,15KB,false,RKB,,"[""Appendix 2A""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03099608-6A1329232,2026-06-11T23:44:24.000Z,Change of Director's Interest Notice,395KB,false,RKB,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03096537-6A1328063,2026-06-02T22:20:50.000Z,RESOURCE UPGRADE DRILL PROGRAM UNDERWAY AT SUNNYSIDE,858KB,true,RKB,,"[""Progress Report""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03096344-6A1327964,2026-06-02T04:56:33.000Z,Correction - Results of Meeting,178KB,false,RKB,,"[""Results of Meeting""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03096309-6A1327956,2026-06-02T03:49:38.000Z,Results of Meeting,1544KB,false,RKB,,"[""Results of Meeting""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03090417-6A1325623,2026-05-14T23:08:26.000Z,Mining Licence Renewed for Omeo Gold Project,229KB,true,RKB,,"[""Progress Report""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
RKB,204234215,2924-03089689-6A1325322,2026-05-13T02:44:29.000Z,Appointment of Joint Company Secretary,148KB,false,RKB,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""RKB""}]","[{""symbol"": ""RKB"", ""xid"": ""616712746"", ""ASXSecurityType"": 1, ""displayName"": ""ROKEBY RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000406746"", ""xidEntity"": 204234215}]","[""RKB"", """"]"
