ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
S32,235660700,2924-03105884-3A696316,2026-06-30T21:39:19.000Z,Alcoa Announces Acquisition of Certain South32 Assets,207KB,true,AAI,,"[""Asset Acquisition"", ""Progress Report""]","[{""symbolDisplay"": ""AAI""}, {""symbolDisplay"": ""S32""}]","[{""symbol"": ""AAI"", ""xid"": ""892160245"", ""ASXSecurityType"": 1, ""displayName"": ""ALCOA CORPORATION"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000339426"", ""xidEntity"": 368937103, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Aluminum""}]","[""AAI"", ""S32"", """"]"
S32,235660700,2924-03105877-6A1331799,2026-06-30T21:30:44.000Z,Final Investment Approval for Sierra Gorda 4th Grinding Line,86KB,false,S32,,"[""Progress Report""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03105876-6A1331798,2026-06-30T21:30:24.000Z,Agreement to Sell Aluminium Value Chain Assets,6165KB,true,S32,,"[""Company Presentation"", ""Asset Disposal""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03105875-6A1331797,2026-06-30T21:30:04.000Z,US$5.6B Aluminium Value Chain Sale and CEO Transition,169KB,true,S32,,"[""Dividend - Special"", ""CEO/Managing Director - Appointment Resignation"", ""Web Cast"", ""Asset Disposal""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03100798-6A1329686,2026-06-16T07:09:52.000Z,Change in substantial holding,1739KB,false,S32,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03092157-6A1326330,2026-05-20T08:29:14.000Z,Change in substantial holding,2448KB,false,S32,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03089296-6A1325162,2026-05-12T06:33:21.000Z,Strategy and Business Update,4273KB,false,S32,,"[""Company Presentation""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03084131-6A1322966,2026-04-29T22:00:55.000Z,Hermosa Project Update,2711KB,true,S32,,"[""Web Cast"", ""Progress Report""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03081034-6A1321404,2026-04-21T22:00:12.000Z,March 2026 Quarterly Report,133KB,true,S32,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03076531-6A1319639,2026-04-08T02:20:59.000Z,Notification of cessation of securities - S32,12KB,false,S32,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03076530-6A1319637,2026-04-08T02:19:39.000Z,Notification regarding unquoted securities - S32,14KB,false,S32,,"[""Appendix 3G""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03076525-6A1319636,2026-04-08T02:17:34.000Z,Notification regarding unquoted securities - S32,15KB,false,S32,,"[""Appendix 3G""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03074706-6A1319003,2026-04-01T01:10:24.000Z,Appendix 3X - Sinead Kaufman,267KB,false,S32,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03071691-6A1317709,2026-03-24T21:14:24.000Z,Change in substantial holding,2605KB,false,S32,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
S32,235660700,2924-03068481-6A1316449,2026-03-15T21:24:18.000Z,Mozal Aluminium Placed on Care and Maintenance,64KB,false,S32,,"[""Progress Report""]","[{""symbolDisplay"": ""S32""}]","[{""symbol"": ""S32"", ""xid"": ""88102539"", ""ASXSecurityType"": 1, ""displayName"": ""SOUTH32 LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000S320"", ""xidEntity"": 235660700}]","[""S32"", """"]"
