ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SCN,204206926,2924-03102006-6A1330193,2026-06-19T05:35:20.000Z,Change of Director's Interest Notice - PK,1090KB,false,SCN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03102005-6A1330192,2026-06-19T05:34:50.000Z,Change of Director's Interest Notice - MK,1091KB,false,SCN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03099924-6A1329345,2026-06-12T09:23:33.000Z,Notification regarding unquoted securities - SCN,28KB,false,SCN,,"[""Appendix 3G""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03098495-6A1328782,2026-06-09T07:31:54.000Z,Change of Director's Interest Notice - PK,395KB,false,SCN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03098249-6A1328706,2026-06-08T23:38:16.000Z,Scorpion Receives $2M Right to Mine Option Fee,703KB,false,SCN,,"[""Periodic Reports - Other""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03097430-6A1328384,2026-06-04T08:11:02.000Z,Vesting of Options,248KB,false,SCN,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03094705-6A1327344,2026-05-28T02:06:53.000Z,Presentation - Murchison Gold Strategy,2226KB,false,SCN,,"[""Company Presentation""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03093019-6A1326656,2026-05-22T08:07:28.000Z,Change of Director's Interest Notice - PK,279KB,false,SCN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03093018-6A1326654,2026-05-22T08:07:08.000Z,Change of Director's Interest Notice - MK,286KB,false,SCN,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
SCN,204206926,2924-03091014-6A1325882,2026-05-18T00:11:12.000Z,Proposed issue of securities - SCN,23KB,false,SCN,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""SCN""}]","[{""symbol"": ""SCN"", ""xid"": ""6708659"", ""ASXSecurityType"": 1, ""displayName"": ""SCORPION MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000033326"", ""xidEntity"": 204206926}]","[""SCN"", """"]"
