ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SCP,518331955,2924-03096202-3A694533,2026-06-01T23:41:36.000Z,SCP acquires Fishburners,186KB,true,SCP,,"[""Asset Acquisition""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03083266-3A692112,2026-04-28T06:10:55.000Z,Final Director's Interest Notice - Quarry,236KB,false,SCP,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03082452-3A691960,2026-04-24T07:40:44.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,328KB,true,SCP,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03081420-3A691821,2026-04-22T06:18:10.000Z,Change in the Board,97KB,false,SCP,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03079364-3A691447,2026-04-15T23:05:28.000Z,Scalare Partners with Investment Infrastructure Platform,110KB,false,SCP,,"[""Progress Report""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03079191-3A691415,2026-04-15T07:27:42.000Z,Change of Company Secretary,101KB,false,SCP,,"[""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03074069-3A690505,2026-03-31T01:51:40.000Z,Change of Director's Interest Notice - Walker,205KB,false,SCP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03068014-3A689393,2026-03-13T02:54:44.000Z,Change of Director's Interest Notice - Walker,205KB,false,SCP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03064507-3A688761,2026-03-04T03:14:06.000Z,Change of Director's Interest Notice - Bourne,205KB,false,SCP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
SCP,518331955,2924-03064439-3A688747,2026-03-03T23:57:44.000Z,Change of Director's Interest Notice - Howse,278KB,false,SCP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SCP""}]","[{""symbol"": ""SCP"", ""xid"": ""517583715"", ""ASXSecurityType"": 1, ""displayName"": ""SCALARE PARTNERS HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000361503"", ""xidEntity"": 518331955}]","[""SCP"", """"]"
