ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SFC,204148950,2924-03104586-6A1331242,2026-06-26T07:28:03.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03103562-6A1330858,2026-06-24T08:31:44.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03103039-6A1330639,2026-06-23T07:39:15.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03099414-6A1329160,2026-06-11T07:25:13.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03099251-6A1329100,2026-06-11T00:58:21.000Z,Notification of cessation of securities - SFC,12KB,false,SFC,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03098476-6A1328774,2026-06-09T07:07:49.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03097402-6A1328370,2026-06-04T07:19:12.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03096915-6A1328210,2026-06-03T07:18:28.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03091473-6A1326076,2026-05-19T00:32:27.000Z,Update - Notification of buy-back - SFC,15KB,false,SFC,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
SFC,204148950,2924-03079944-6A1320901,2026-04-17T02:39:03.000Z,Change of Director's Interest Notice,230KB,false,SFC,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SFC""}]","[{""symbol"": ""SFC"", ""xid"": ""251361"", ""ASXSecurityType"": 1, ""displayName"": ""SCHAFFER CORPORATION LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SFC0"", ""xidEntity"": 204148950}]","[""SFC"", """"]"
