ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SGH,204172112,2924-03102271-2A1678382,2026-06-21T22:24:15.000Z,Notification of buy-back - SGH,13KB,false,SGH,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03102267-2A1678378,2026-06-21T22:19:40.000Z,On-Market Share Buy-Back of up to $500 million,142KB,true,SGH,,"[""Market Buy-Back""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03095950-2A1674956,2026-06-01T07:18:10.000Z,Final Director's Interest Notice,245KB,false,SGH,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03092237-2A1673062,2026-05-20T22:22:00.000Z,SGH Investor Presentation,9410KB,true,SGH,,"[""Company Presentation""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03090143-2A1672093,2026-05-14T03:49:14.000Z,SGH Investor Day Webcast Registration,150KB,false,SGH,,"[""Web Cast""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03086857-2A1670195,2026-05-05T08:02:00.000Z,Ceasing to be a substantial holder from SGH,260KB,false,RZI,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""RZI""}, {""symbolDisplay"": ""SGH""}]","[{""symbol"": ""RZI"", ""xid"": ""475622900"", ""ASXSecurityType"": 1, ""displayName"": ""RAIZ INVEST LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000010761"", ""xidEntity"": 468878285, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Investment Banking & Brokerage""}]","[""RZI"", ""SGH"", """"]"
SGH,204172112,2924-03086369-2A1669928,2026-05-04T21:33:01.000Z,Macquarie Conference Reference Material,2582KB,false,SGH,,"[""Company Presentation""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03085810-6A1323730,2026-05-01T09:00:43.000Z,Change in substantial holding from SGH,295KB,false,FRS,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""FRS""}, {""symbolDisplay"": ""SGH""}]","[{""symbol"": ""FRS"", ""xid"": ""676640671"", ""ASXSecurityType"": 1, ""displayName"": ""FORRESTANIA RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000171621"", ""xidEntity"": 676601630, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""FRS"", ""SGH"", """"]"
SGH,204172112,2924-03075493-2A1664377,2026-04-02T05:51:00.000Z,Notification of cessation of securities - SGH,13KB,false,SGH,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03074454-2A1663612,2026-03-31T21:21:43.000Z,Initial Director's Interest Notice,201KB,false,SGH,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
SGH,204172112,2924-03074451-2A1663611,2026-03-31T21:21:28.000Z,Appointment of Vik Bansal to the SGH Board,173KB,false,SGH,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""SGH""}]","[{""symbol"": ""SGH"", ""xid"": ""23693826"", ""ASXSecurityType"": 1, ""displayName"": ""SGH LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000364754"", ""xidEntity"": 204172112}]","[""SGH"", """"]"
