ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SMI,233851285,2924-03103852-6A1330964,2026-06-25T00:54:28.000Z,BOGP - Fast-track Approvals Update,250KB,false,SMI,,"[""Progress Report""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03096094-6A1327886,2026-06-01T22:30:46.000Z,BOGP - Fast-track Approvals Update,318KB,false,SMI,,"[""Progress Report""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03088502-6A1324871,2026-05-10T21:59:53.000Z,Update on Freehold Land Consent Approval,242KB,false,SMI,,"[""Progress Report"", ""Company Administration - Other""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03087437-6A1324465,2026-05-06T21:30:09.000Z,Consent Granted for Bendigo Gold Project Land Purchase,351KB,true,SMI,,"[""Progress Report""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03082789-6A1322230,2026-04-27T21:30:07.000Z,Quarterly Activities and Cashflow Reports,2244KB,true,SMI,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03078765-6A1320445,2026-04-14T21:30:04.000Z,Emerging Northern Growth as CIT Mineralisation Mirrors RAS,1413KB,false,SMI,,"[""Progress Report""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03076821-6A1319747,2026-04-08T22:20:31.000Z,Completion of Tranche 2 Placement,339KB,false,SMI,,"[""Issued Capital - Other"", ""Cleansing Notice""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03076769-6A1319750,2026-04-08T21:43:36.000Z,Change of Director's Interest Notice - Cook,326KB,false,SMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03076768-6A1319749,2026-04-08T21:43:11.000Z,Change of Director's Interest Notice - Bunting,292KB,false,SMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
SMI,233851285,2924-03076767-6A1319748,2026-04-08T21:42:11.000Z,Change of Director's Interest Notice - Scotney,289KB,false,SMI,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SMI""}]","[{""symbol"": ""SMI"", ""xid"": ""58398202"", ""ASXSecurityType"": 1, ""displayName"": ""SANTANA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SMI3"", ""xidEntity"": 233851285, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Gold""}]","[""SMI"", """"]"
