ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SNL,204223364,2924-03103499-2A1679091,2026-06-24T06:47:59.000Z,Director Retirement,133KB,false,SNL,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03103048-2A1678831,2026-06-23T08:05:45.000Z,Ceasing to be a substantial holder,531KB,false,SNL,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03097863-2A1676181,2026-06-05T07:02:36.000Z,Ceasing to be a substantial holder,191KB,false,SNL,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03096846-2A1675417,2026-06-03T05:23:42.000Z,Becoming a substantial holder,254KB,false,SNL,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03095412-2A1674656,2026-05-29T07:22:18.000Z,Ceasing to be a substantial holder,179KB,false,SNL,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03095368-2A1674636,2026-05-29T06:31:48.000Z,Becoming a substantial holder,304KB,false,SNL,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03094790-2A1674325,2026-05-28T05:49:29.000Z,Becoming a substantial holder,231KB,false,SNL,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03093425-2A1673618,2026-05-25T06:32:12.000Z,Ceasing to be a substantial holder,261KB,false,SNL,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03092943-2A1673405,2026-05-22T06:29:53.000Z,Becoming a substantial holder,292KB,false,SNL,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
SNL,204223364,2924-03090614-2A1672318,2026-05-15T06:19:44.000Z,Ceasing to be a substantial holder,268KB,false,SNL,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SNL""}]","[{""symbol"": ""SNL"", ""xid"": ""256840"", ""ASXSecurityType"": 1, ""displayName"": ""SUPPLY NETWORK LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SNL5"", ""xidEntity"": 204223364, ""sector"": ""Consumer Discretionary"", ""industryGroup"": ""Consumer Discretionary Distribution & Retail"", ""industry"": ""Distributors"", ""subIndustry"": ""Distributors""}]","[""SNL"", """"]"
