ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SP3,417084277,2924-03105900-6A1331759,2026-06-30T22:13:04.000Z,Notification of cessation of securities - SP3,12KB,false,SP3,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03103941-6A1330997,2026-06-25T05:05:38.000Z,Change of Registered Office,115KB,false,SP3,,"[""Details of Registered office address""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03094761-6A1327368,2026-05-28T04:30:38.000Z,Investor Presentation - Market Update,14932KB,false,SP3,,"[""Company Presentation""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03084192-6A1322888,2026-04-29T22:12:00.000Z,Quarterly Activities Report - 31 March 2026,446KB,true,SP3,,"[""Commitments Test Entity - Third Quarter Activity Report""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03084189-6A1322887,2026-04-29T22:11:50.000Z,Quarterly Cashflow Report - 31 March 2026,269KB,true,SP3,,"[""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03074945-6A1319088,2026-04-01T08:48:27.000Z,Change of Director's Interest Notice - Cooper,458KB,false,SP3,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03065979-6A1315371,2026-03-09T01:29:21.000Z,Cleansing Notice,140KB,false,SP3,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03065977-6A1315370,2026-03-09T01:25:01.000Z,Application for quotation of securities - SP3,15KB,false,SP3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03062625-6A1314110,2026-02-26T23:07:07.000Z,H1 FY26 Financial Statements and Appendix 4D,1740KB,true,SP3,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03057342-6A1312425,2026-02-16T23:58:09.000Z,Cleansing Notice,136KB,false,SP3,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03057340-6A1312423,2026-02-16T23:55:04.000Z,Application for quotation of securities - SP3,15KB,false,SP3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03050630-6A1309299,2026-01-29T21:21:58.000Z,Quarterly Activities Report - 31 December 2025,360KB,true,SP3,,"[""Second Quarter Activities Report""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03050623-6A1309296,2026-01-29T21:21:23.000Z,Quarterly Cashflow Report - 31 December 2025,268KB,true,SP3,,"[""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03047335-6A1307620,2026-01-19T21:17:48.000Z,Cleansing Notice,147KB,false,SP3,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03047334-6A1307619,2026-01-19T21:17:33.000Z,Notification of cessation of securities - SP3,12KB,false,SP3,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03047332-6A1307618,2026-01-19T21:17:23.000Z,Application for quotation of securities - SP3,17KB,false,SP3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03031689-6A1300881,2025-12-01T22:12:15.000Z,Change of Director's Interest Notice - Da Silva,362KB,false,SP3,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03031687-6A1300879,2025-12-01T22:12:00.000Z,Change of Director's Interest Notice - Cooper,387KB,false,SP3,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03031684-6A1300876,2025-12-01T22:11:40.000Z,Cleansing Notice,149KB,false,SP3,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03031664-6A1300872,2025-12-01T22:05:30.000Z,Application for quotation of securities - SP3,16KB,false,SP3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
SP3,417084277,2924-03031655-6A1300868,2025-12-01T22:02:35.000Z,Application for quotation of securities - SP3,15KB,false,SP3,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SP3""}]","[{""symbol"": ""SP3"", ""xid"": ""417089262"", ""ASXSecurityType"": 1, ""displayName"": ""SPECTUR LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SP35"", ""xidEntity"": 417084277}]","[""SP3"", """"]"
