ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SPG,216433355,2924-03102042-3A695653,2026-06-19T06:23:30.000Z,Ceasing to be a substantial holder from WMI,275KB,false,SPG,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SPG""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", ""WMI"", """"]"
SPG,216433355,2924-03100382-3A695346,2026-06-15T08:01:13.000Z,Becoming a substantial holder from WMI,361KB,false,SPG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SPG""}, {""symbolDisplay"": ""WMI""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", ""WMI"", """"]"
SPG,216433355,2924-03099849-3A695254,2026-06-12T06:57:32.000Z,Becoming a substantial holder,171KB,false,SPG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SPG""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", """"]"
SPG,216433355,2924-03099600-3A695201,2026-06-11T23:34:54.000Z,Becoming a substantial holder,304KB,false,SPG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SPG""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", """"]"
SPG,216433355,2924-03099362-3A695137,2026-06-11T06:09:58.000Z,Becoming a substantial holder from TOP,163KB,false,SPG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SPG""}, {""symbolDisplay"": ""TOP""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", ""TOP"", """"]"
SPG,216433355,2924-03098851-3A695038,2026-06-10T03:50:13.000Z,Change in Director's Interest Notice,250KB,false,SPG,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""SPG""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", """"]"
SPG,216433355,2924-03098812-3A695028,2026-06-10T01:34:52.000Z,Application for quotation of securities - SPG,15KB,false,SPG,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SPG""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", """"]"
SPG,216433355,2924-03097734-3A694829,2026-06-05T02:23:19.000Z,Completion of Shortfall Bookbuild,118KB,true,SPG,,"[""Renounceable Issue""]","[{""symbolDisplay"": ""SPG""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", """"]"
SPG,216433355,2924-03097208-3A694747,2026-06-04T00:05:40.000Z,Entitlement Offer Results,102KB,true,SPG,,"[""Renounceable Issue""]","[{""symbolDisplay"": ""SPG""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", """"]"
SPG,216433355,2924-03092759-3A693826,2026-05-21T23:21:55.000Z,Section 708A Cleansing Statement,160KB,false,SPG,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SPG""}]","[{""symbol"": ""SPG"", ""xid"": ""791469457"", ""ASXSecurityType"": 1, ""displayName"": ""SPC GLOBAL HOLDINGS LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000372724"", ""xidEntity"": 216433355, ""sector"": ""Consumer Staples"", ""industryGroup"": ""Food, Beverage & Tobacco"", ""industry"": ""Food Products"", ""subIndustry"": ""Packaged Foods & Meats""}]","[""SPG"", """"]"
