ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SRG,204198323,2924-03104057-6A1331043,2026-06-25T07:52:39.000Z,Becoming a substantial holder,3664KB,false,SRG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03102968-6A1330606,2026-06-23T05:06:34.000Z,Ceasing to be a substantial holder,752KB,false,SRG,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03102599-6A1330439,2026-06-22T07:19:31.000Z,Becoming a substantial holder,1384KB,false,SRG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03097893-6A1328535,2026-06-05T07:28:56.000Z,Ceasing to be a substantial holder,807KB,false,SRG,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03097437-6A1328390,2026-06-04T08:24:02.000Z,Becoming a substantial holder,1236KB,false,SRG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03096018-6A1327840,2026-06-01T22:20:56.000Z,"$1.85b contracts secured, upgrades FY26, initiates FY27",257KB,true,SRG,,"[""Progress Report""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03095396-6A1327622,2026-05-29T07:06:08.000Z,Ceasing to be a substantial holder,609KB,false,SRG,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03094879-6A1327423,2026-05-28T08:07:10.000Z,Becoming a substantial holder,3336KB,false,SRG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03094395-6A1327215,2026-05-27T08:22:36.000Z,Ceasing to be a substantial holder,920KB,false,SRG,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
SRG,204198323,2924-03091618-6A1326127,2026-05-19T07:11:45.000Z,Becoming a substantial holder,3166KB,false,SRG,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SRG""}]","[{""symbol"": ""SRG"", ""xid"": ""261694"", ""ASXSecurityType"": 1, ""displayName"": ""SRG GLOBAL LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000032914"", ""xidEntity"": 204198323, ""sector"": ""Industrials"", ""industryGroup"": ""Capital Goods"", ""industry"": ""Construction & Engineering"", ""subIndustry"": ""Construction & Engineering""}]","[""SRG"", """"]"
