ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SRK,204208341,2924-03085261-6A1323515,2026-04-30T09:26:29.000Z,Quarterly Reports - 31 March 2026,804KB,true,SRK,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03077159-6A1319864,2026-04-09T05:02:49.000Z,Replacement - Exploration Update - Apurimac Iron Ore Project,386KB,true,SRK,,"[""Progress Report""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03076779-6A1319714,2026-04-08T22:15:46.000Z,"Exploration Update - Opaban 1 Concession, Apurimac Project",429KB,false,SRK,,"[""Progress Report""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03069418-6A1316822,2026-03-17T07:54:16.000Z,Sale of Minority Stake in Apurimac Iron Ore Project,246KB,true,SRK,,"[""Asset Disposal"", ""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03068635-6A1316515,2026-03-15T22:48:58.000Z,Trading Halt,406KB,true,SRK,,"[""Trading Halt""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03068392-6A1316394,2026-03-15T21:11:03.000Z,Half Year Report - 31 December 2025,1232KB,false,SRK,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03051599-6A1309862,2026-01-30T09:17:28.000Z,Quarterly Reports - 31 December 2025,1082KB,true,SRK,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03049939-6A1308953,2026-01-28T21:18:35.000Z,Strike Signs Port MOU to Support Apurimac Export Strategy,441KB,true,SRK,,"[""Progress Report""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03029766-6A1299837,2025-11-27T09:19:58.000Z,Results of 2025 Annual General Meeting,230KB,false,SRK,,"[""Results of Meeting""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
SRK,204208341,2924-03024108-6A1297430,2025-11-17T08:18:43.000Z,Change of Address,104KB,false,SRK,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""SRK""}]","[{""symbol"": ""SRK"", ""xid"": ""112844"", ""ASXSecurityType"": 1, ""displayName"": ""STRIKE RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRK8"", ""xidEntity"": 204208341}]","[""SRK"", """"]"
