ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SRT,204121148,2924-03105907-6A1331784,2026-06-30T22:13:44.000Z,Statement of CDIs on issue - SRT,9KB,false,SRT,,"[""Alteration to issued capital""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03105898-6A1331756,2026-06-30T22:12:34.000Z,Results of Annual General Meeting,78KB,false,SRT,,"[""Results of Meeting""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03105892-6A1331754,2026-06-30T22:11:29.000Z,Initial Director's Interest Notice,55KB,false,SRT,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03105890-6A1331752,2026-06-30T22:11:04.000Z,Final Director's Interest Notice,52KB,false,SRT,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03105844-6A1331714,2026-06-30T08:50:17.000Z,Update re Martin Holland Director Appointment,259KB,false,SRT,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03105388-6A1331556,2026-06-29T23:06:45.000Z,Appointment of Director,408KB,false,SRT,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03102895-6A1330574,2026-06-23T00:12:19.000Z,Application for quotation of securities - SRT,15KB,false,SRT,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03102894-6A1330573,2026-06-23T00:12:09.000Z,COMPLETION OF TRANCHE 1 OF PLACEMENT,574KB,false,SRT,,"[""Placement""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03102651-6A1330473,2026-06-22T09:22:57.000Z,STRATA REJECTS REVISED PROPOSED OFFER,546KB,true,SRT,,"[""Takeover - Other""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
SRT,204121148,2924-03102118-6A1330231,2026-06-19T07:56:41.000Z,Revised Proposal,543KB,true,SRT,,"[""Intention to Make Takeover Bid""]","[{""symbolDisplay"": ""SRT""}]","[{""symbol"": ""SRT"", ""xid"": ""635659465"", ""ASXSecurityType"": 1, ""displayName"": ""STRATA INVESTMENT HOLDINGS PLC"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000276149"", ""xidEntity"": 204121148, ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""SRT"", """"]"
