ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
SRZ,199000204,2924-03099665-3A695216,2026-06-12T00:54:45.000Z,Consolidation/Split - SRZ,16KB,false,SRZ,,"[""Capital Reconstruction"", ""Alteration to issued capital""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03099661-3A695215,2026-06-12T00:49:15.000Z,Notice of Extraordinary General Meeting/Proxy Form,484KB,true,SRZ,,"[""Capital Reconstruction"", ""Notice of Extraordinary General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03091657-3A693595,2026-05-19T08:11:20.000Z,Section 708A Cleansing Notice,313KB,false,SRZ,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03091652-3A693594,2026-05-19T08:08:15.000Z,Application for quotation of securities - SRZ,15KB,false,SRZ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03091620-3A693587,2026-05-19T07:12:40.000Z,Initial Director's Interest Notice,135KB,false,SRZ,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03091413-3A693549,2026-05-18T23:22:22.000Z,Drilling at Montana Hits High-Grade Tin,2900KB,true,SRZ,,"[""Progress Report""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03090960-3A693474,2026-05-17T23:33:42.000Z,Director and Key Study Team Appointments,847KB,false,SRZ,,"[""Director Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03090258-3A693333,2026-05-14T07:56:50.000Z,Ceasing to be a substantial holder,571KB,false,SRZ,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03089355-3A693168,2026-05-12T07:31:52.000Z,Change in substantial holding,273KB,false,SRZ,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03089226-3A693152,2026-05-12T03:36:20.000Z,Becoming a substantial holder,331KB,false,SRZ,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
SRZ,199000204,2924-03088367-3A693002,2026-05-08T06:19:57.000Z,Becoming a substantial holder from MLX,501KB,false,SRZ,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""SRZ""}, {""symbolDisplay"": ""MLX""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", ""MLX"", """"]"
SRZ,199000204,2924-03088300-3A692995,2026-05-08T03:37:06.000Z,Section 708A Cleansing Notice,961KB,false,SRZ,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""SRZ""}]","[{""symbol"": ""SRZ"", ""xid"": ""1692864"", ""ASXSecurityType"": 1, ""displayName"": ""STELLAR RESOURCES LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000SRZ6"", ""xidEntity"": 199000204}]","[""SRZ"", """"]"
