ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TAR,214412370,2924-03104802-6A1331345,2026-06-28T23:05:06.000Z,Field Exploration Programs Advance Agadul Priority Targets,2394KB,true,TAR,,"[""Progress Report""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03102644-6A1330470,2026-06-22T08:49:07.000Z,Becoming a substantial holder - Cronin,51KB,false,TAR,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03102643-6A1330469,2026-06-22T08:47:32.000Z,Change in substantial holding - de Mori,127KB,false,TAR,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03102642-6A1330468,2026-06-22T08:44:42.000Z,Change of Director's Interest Notice x2,239KB,false,TAR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03102578-6A1330426,2026-06-22T06:51:46.000Z,Cleansing Notice,155KB,false,TAR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03102574-6A1330423,2026-06-22T06:49:36.000Z,Application for quotation of securities - TAR,15KB,false,TAR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03102355-6A1330340,2026-06-21T23:14:15.000Z,Weioko Exploration Licences Granted - Clearing Path to Drill,561KB,true,TAR,,"[""Issued Capital - Other"", ""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03101809-6A1330108,2026-06-18T23:10:18.000Z,Trading Halt,236KB,true,TAR,,"[""Trading Halt""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03101406-6A1329943,2026-06-17T22:55:13.000Z,Taruga Advances Kol Mountain with High Priority Targets,2168KB,true,TAR,,"[""Progress Report""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
TAR,214412370,2924-03095547-6A1327700,2026-05-31T22:22:31.000Z,Details of Company Address,131KB,false,TAR,,"[""Details of Company Address"", ""Details of Registered office address""]","[{""symbolDisplay"": ""TAR""}]","[{""symbol"": ""TAR"", ""xid"": ""41268420"", ""ASXSecurityType"": 1, ""displayName"": ""TARUGA MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAR7"", ""xidEntity"": 214412370}]","[""TAR"", """"]"
