ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TAS,204106605,2924-03101602-6A1330023,2026-06-18T06:24:06.000Z,Notice of General Meeting/Proxy Form,460KB,false,TAS,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03099751-6A1329278,2026-06-12T04:07:51.000Z,Change in substantial holding - 7 Enterprises Pty Ltd,128KB,false,TAS,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03098500-6A1328785,2026-06-09T07:40:29.000Z,Issue of Placement Shares and Cleansing Notice,231KB,false,TAS,,"[""Issued Capital - Other"", ""Cleansing Notice""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03098493-6A1328781,2026-06-09T07:28:34.000Z,Application for quotation of securities - TAS,15KB,false,TAS,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03098093-6A1328633,2026-06-08T22:30:41.000Z,Additional funding from sale of options in Eden Innovations,372KB,false,TAS,,"[""Security holder details - Other"", ""Asset Disposal""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03095653-6A1327731,2026-05-31T23:00:56.000Z,Change in substantial holding - 7 Enterprises Pty Ltd,90KB,false,TAS,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03094851-6A1327411,2026-05-28T07:24:05.000Z,Final Director's Interest Notice,1056KB,false,TAS,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03094579-6A1327294,2026-05-27T23:23:27.000Z,Initial Director's Interest Notice - Turnbull,800KB,false,TAS,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03093102-6A1326717,2026-05-24T22:15:53.000Z,Proposed issue of securities - TAS,15KB,false,TAS,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
TAS,204106605,2924-03093100-6A1326716,2026-05-24T22:15:28.000Z,"Board Updates, Adam Turnbull appointed and $4M Placement",589KB,true,TAS,,"[""Placement"", ""Director Appointment/Resignation""]","[{""symbolDisplay"": ""TAS""}]","[{""symbol"": ""TAS"", ""xid"": ""265168"", ""ASXSecurityType"": 1, ""displayName"": ""TASMAN RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TAS5"", ""xidEntity"": 204106605, ""sector"": ""Materials"", ""industryGroup"": ""Materials"", ""industry"": ""Metals & Mining"", ""subIndustry"": ""Diversified Metals & Mining""}]","[""TAS"", """"]"
