ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TEE,690472807,2924-03084268-6A1322989,2026-04-29T22:20:45.000Z,Quarterly Activities Report,148KB,true,TEE,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03084267-6A1322985,2026-04-29T22:20:35.000Z,Appendix 5B,219KB,true,TEE,,"[""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03072810-6A1318157,2026-03-26T22:28:17.000Z,Suspension from Quotation,284KB,true,TEE,,"[""Suspension from Official Quotation""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03068104-6A1316268,2026-03-13T05:14:05.000Z,Half Year Accounts,466KB,false,TEE,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03050715-6A1309361,2026-01-29T21:38:34.000Z,Quarterly Activities Report,188KB,true,TEE,,"[""Second Quarter Activities Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03050713-6A1309359,2026-01-29T21:37:59.000Z,Appendix 5B,219KB,true,TEE,,"[""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03049465-6A1308670,2026-01-27T21:45:47.000Z,TEE Expands U.S. Energy Platform,591KB,true,TEE,,"[""Progress Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03048340-6A1308122,2026-01-22T06:38:43.000Z,Notice under ASX Listing Rule 3.10A,107KB,false,TEE,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03034117-6A1301873,2025-12-05T08:09:02.000Z,Cleansing Notice,131KB,false,TEE,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03034112-6A1301869,2025-12-05T07:59:12.000Z,Application for quotation of securities - TEE,15KB,false,TEE,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03031464-6A1300742,2025-12-01T07:53:31.000Z,Notification of cessation of securities - TEE,15KB,false,TEE,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03029375-6A1299638,2025-11-27T02:20:56.000Z,Results of 2025 AGM,141KB,false,TEE,,"[""Results of Meeting""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03026006-6A1298199,2025-11-20T06:38:28.000Z,Expiry of Unlisted Options,114KB,false,TEE,,"[""Issued Capital - Other""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03016995-6A1294544,2025-10-30T22:04:32.000Z,Quarterly Activities Report,3489KB,true,TEE,,"[""First Quarter Activities Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03016973-6A1294537,2025-10-30T21:58:57.000Z,Appendix 5B,219KB,true,TEE,,"[""First Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03010634-6A1291408,2025-10-20T06:01:34.000Z,2025 AGM Notice of Meeting & Proxy Form,770KB,false,TEE,,"[""Notice of Annual General Meeting"", ""Proxy Form""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-03004664-6A1288796,2025-10-07T05:37:29.000Z,Notification of 2025 Annual General Meeting,118KB,false,TEE,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-02999383-6A1286398,2025-09-26T07:49:49.000Z,Appendix 4G and Corporate Governance Statement,672KB,false,TEE,,"[""Corporate Governance"", ""Appendix 4G""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-02999379-6A1286396,2025-09-26T07:46:44.000Z,Annual Report to shareholders,1747KB,false,TEE,,"[""Annual Report"", ""Top 20 shareholders"", ""Full Year Accounts"", ""Full Year Audit Review"", ""Full Year Directors' Statement"", ""Full Year Directors' Report""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-02992065-6A1283283,2025-09-10T22:30:41.000Z,Top End ADR begins trading on U.S. OTCQB Market,178KB,true,TEE,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
TEE,690472807,2924-02975471-6A1277072,2025-08-05T22:07:42.000Z,North American Roadshow Presentation,7276KB,false,TEE,,"[""Company Presentation""]","[{""symbolDisplay"": ""TEE""}]","[{""symbol"": ""TEE"", ""xid"": ""690472170"", ""ASXSecurityType"": 1, ""displayName"": ""TOP END ENERGY LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000189300"", ""xidEntity"": 690472807}]","[""TEE"", """"]"
