ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TER,204273044,2924-03105631-2A1680742,2026-06-30T05:14:31.000Z,FY2026 Coal Sales Update,138KB,true,TER,,"[""Progress Report""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03104283-2A1679702,2026-06-26T00:01:47.000Z,Letter to Shareholders,167KB,true,TER,,"[""Periodic Reports - Other"", ""Progress Report"", ""Letter to Shareholders""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03095105-2A1674508,2026-05-28T23:50:51.000Z,Appointment of Interim CFO and Company Secretary,168KB,false,TER,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03085354-2A1669363,2026-04-30T22:28:49.000Z,Initial Director's Interest Notice (M Chadwick),313KB,false,TER,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03085353-2A1669362,2026-04-30T22:28:34.000Z,Board Appointment (M Chadwick),170KB,false,TER,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03082968-2A1668430,2026-04-27T23:05:18.000Z,Quarterly Activities Report,768KB,true,TER,,"[""Third Quarter Activities Report""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03078841-2A1666532,2026-04-14T22:30:59.000Z,Appointment of Non-Executive Chairman,166KB,false,TER,,"[""Chair Appointment/Resignation""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03077467-2A1665683,2026-04-09T23:25:35.000Z,Resignation of Chief Financial Officer and Company Secretary,171KB,false,TER,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03076926-2A1665224,2026-04-08T23:15:52.000Z,Final Director's Interest Notice (D McCarthy),825KB,false,TER,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
TER,204273044,2924-03076915-2A1665222,2026-04-08T23:08:42.000Z,TerraCom Leadership Changes,136KB,true,TER,,"[""CEO/Managing Director - Appointment Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""TER""}]","[{""symbol"": ""TER"", ""xid"": ""24788500"", ""ASXSecurityType"": 1, ""displayName"": ""TERRACOM LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TER9"", ""xidEntity"": 204273044}]","[""TER"", """"]"
