ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TIP,521584906,2924-03105010-2A1680097,2026-06-29T04:45:52.000Z,Appendix 3Y - Howard Coleman,369KB,false,TIP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03100353-2A1677473,2026-06-15T07:05:43.000Z,Appendix 3Y - Malcolm Jones,368KB,false,TIP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03099681-2A1677148,2026-06-12T01:19:40.000Z,Appendix 3Y - Howard Coleman,369KB,false,TIP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03095874-2A1674896,2026-06-01T05:26:19.000Z,Appendix 3Y - Malcolm Jones,264KB,false,TIP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03092569-2A1673244,2026-05-21T07:00:28.000Z,Appendix 3Y - Howard Coleman,369KB,false,TIP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03092164-2A1673032,2026-05-20T08:49:09.000Z,Appendix 3Y - Malcolm Jones,264KB,false,TIP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03092008-2A1672949,2026-05-20T03:01:17.000Z,Proposed sale of Intelligent Investor to TIP,460KB,true,INV,,"[""Asset Disposal""]","[{""symbolDisplay"": ""INV""}, {""symbolDisplay"": ""TIP""}]","[{""symbol"": ""INV"", ""xid"": ""1657170"", ""ASXSecurityType"": 1, ""displayName"": ""INVESTSMART GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000INV5"", ""xidEntity"": 204264205, ""sector"": ""Financials"", ""industryGroup"": ""Financial Services"", ""industry"": ""Capital Markets"", ""subIndustry"": ""Asset Management & Custody Banks""}]","[""INV"", ""TIP"", """"]"
TIP,521584906,2924-03091733-2A1672841,2026-05-19T22:22:56.000Z,Update - Notification of buy-back - TIP,15KB,false,TIP,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03091495-2A1672710,2026-05-19T01:30:58.000Z,Update on Colour Capital proceedings,213KB,false,TIP,,"[""Legal Proceedings""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
TIP,521584906,2924-03090132-2A1672088,2026-05-14T02:55:33.000Z,Appendix 3Y - Malcolm Jones,264KB,false,TIP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TIP""}]","[{""symbol"": ""TIP"", ""xid"": ""844613054"", ""ASXSecurityType"": 1, ""displayName"": ""TEAMINVEST PRIVATE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000041717"", ""xidEntity"": 521584906}]","[""TIP"", """"]"
