ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TLM,204172127,2924-03093995-6A1327048,2026-05-26T22:23:22.000Z,Talisman Mining Announces Leadership Succession,1636KB,true,TLM,,"[""CEO/Managing Director - Appointment Resignation""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03091700-6A1326157,2026-05-19T22:17:21.000Z,New Phase of AC Drilling Commences at East Peak Hill,9630KB,false,TLM,,"[""Progress Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03083377-6A1322474,2026-04-28T08:37:36.000Z,Appendices 3Yx4 Unlisted Option Expiry,349KB,false,TLM,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03083374-6A1322471,2026-04-28T08:34:41.000Z,Notification of cessation of securities - TLM,12KB,false,TLM,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03082804-6A1322176,2026-04-27T22:13:07.000Z,Further AC Results Highlight Gold and Copper-gold Potential,1308KB,true,TLM,,"[""Progress Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03079684-6A1320787,2026-04-16T22:18:31.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,2768KB,true,TLM,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03077812-6A1320093,2026-04-10T09:13:09.000Z,Notification of cessation of securities - TLM,13KB,false,TLM,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03075924-6A1319436,2026-04-06T23:46:19.000Z,Initial AC Results Confirm Prospectivity of East Peak Hill,945KB,true,TLM,,"[""Progress Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03064648-6A1314853,2026-03-04T07:07:37.000Z,Half Year Accounts,2358KB,false,TLM,,"[""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03054142-6A1311023,2026-02-08T21:16:27.000Z,AC Drilling Delivers Strong Near-Surface Gold at Sheepyard,929KB,true,TLM,,"[""Progress Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03053134-6A1310610,2026-02-04T21:16:50.000Z,Aircore drilling commences at East Peak Hill gold prospect,5683KB,false,TLM,,"[""Progress Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03047658-6A1307767,2026-01-20T21:20:27.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1353KB,true,TLM,,"[""Second Quarter Activities Report"", ""Second Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03046188-6A1307134,2026-01-14T21:21:27.000Z,Notification of cessation of securities - TLM,12KB,false,TLM,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03043849-6A1306168,2026-01-06T07:46:42.000Z,Notification regarding unquoted securities - TLM,18KB,false,TLM,,"[""Appendix 3G""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03033132-6A1301495,2025-12-03T22:31:01.000Z,Diamond Drilling Starts at Yarindury Porphyry Cu-Au Project,983KB,false,TLM,,"[""Progress Report""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
TLM,204172127,2924-03031544-6A1300806,2025-12-01T21:17:20.000Z,Investor Presentation - RRS Summer Series,2426KB,false,TLM,,"[""Company Presentation""]","[{""symbolDisplay"": ""TLM""}]","[{""symbol"": ""TLM"", ""xid"": ""3416620"", ""ASXSecurityType"": 1, ""displayName"": ""TALISMAN MINING LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLM5"", ""xidEntity"": 204172127}]","[""TLM"", """"]"
