ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TLS,204103463,2924-03098444-3A694956,2026-06-09T06:20:59.000Z,Notification of cessation of securities - TLS,13KB,false,TLS,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03097396-3A694770,2026-06-04T07:07:22.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Final Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03097377-3A694767,2026-06-04T06:41:27.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03096912-3A694675,2026-06-03T07:10:58.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03096388-3A694569,2026-06-02T06:35:59.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03095924-3A694457,2026-06-01T06:41:20.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03095387-3A694332,2026-05-29T06:59:48.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03094827-3A694231,2026-05-28T06:42:14.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03094321-3A694138,2026-05-27T06:41:10.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
TLS,204103463,2924-03093882-3A694054,2026-05-26T07:03:31.000Z,Update - Notification of buy-back - TLS,15KB,false,TLS,,"[""Daily Share Buy-Back Notice""]","[{""symbolDisplay"": ""TLS""}]","[{""symbol"": ""TLS"", ""xid"": ""269616"", ""ASXSecurityType"": 1, ""displayName"": ""TELSTRA GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLS2"", ""xidEntity"": 204103463}]","[""TLS"", """"]"
