ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TLX,436054441,2924-03105937-3A696303,2026-06-30T22:17:04.000Z,Change in substantial holding,1236KB,false,TLX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03105743-3A696285,2026-06-30T07:24:31.000Z,Becoming a substantial holder,262KB,false,TLX,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03103626-3A695915,2026-06-24T22:16:02.000Z,Becoming a substantial holder,374KB,false,TLX,,"[""Becoming a substantial holder""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03103034-3A695822,2026-06-23T07:32:15.000Z,Ceasing to be a substantial holder,191KB,false,TLX,,"[""Ceasing to be a substantial holder""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03100916-3A695437,2026-06-16T22:24:28.000Z,Appendix 3Y Change in Director Interest  D Gill,387KB,false,TLX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03097995-3A694873,2026-06-08T22:13:35.000Z,Change in substantial holding,1396KB,false,TLX,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03095875-3A694445,2026-06-01T05:26:29.000Z,Notification regarding unquoted securities - TLX,22KB,false,TLX,,"[""Appendix 3G""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03095872-3A694444,2026-06-01T05:20:24.000Z,Appendix 3Y Change in Director Interest - C Behrenbruch,792KB,false,TLX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03095870-3A694442,2026-06-01T05:16:54.000Z,Appendix 3Y Change in Director Interest - M McDonald,929KB,false,TLX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
TLX,436054441,2924-03095868-3A694441,2026-06-01T05:15:19.000Z,Appendix 3Y Change in Director Interest - W Jellison,930KB,false,TLX,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TLX""}]","[{""symbol"": ""TLX"", ""xid"": ""439018320"", ""ASXSecurityType"": 1, ""displayName"": ""TELIX PHARMACEUTICALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU000000TLX2"", ""xidEntity"": 436054441}]","[""TLX"", """"]"
