ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TM1,231048316,2924-03106280-6A1331906,2026-07-01T00:52:50.000Z,THICK PGM-CU-NI SULFIDE INTERCEPTS CONFIRM SCALE OF SOUTHWES,2308KB,true,TM1,,"[""Progress Report""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03105131-6A1331468,2026-06-29T07:20:12.000Z,Initial Director's Interest Notice x3,579KB,false,TM1,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03105126-6A1331467,2026-06-29T07:18:07.000Z,Final Director's Interest Notice x2,387KB,false,TM1,,"[""Final Director's Interest Notice""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03104029-6A1331031,2026-06-25T07:21:54.000Z,Application for quotation of securities - TM1,15KB,false,TM1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03104019-6A1331027,2026-06-25T07:17:14.000Z,Notification regarding unquoted securities - TM1,21KB,false,TM1,,"[""Appendix 3G""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03103748-6A1330929,2026-06-24T23:20:32.000Z,Terra Metals Appoints New Chair and Strengthens Board,442KB,true,TM1,,"[""Chair Appointment/Resignation"", ""Director Appointment/Resignation"", ""Details of Company Address"", ""Details of Registered office address"", ""Company Secretary Appointment/Resignation""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03101448-6A1329968,2026-06-17T23:23:34.000Z,Drilling Supports Large-Scale Sulfide System at Southwest,1248KB,true,TM1,,"[""Progress Report""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03098741-6A1328898,2026-06-09T23:30:11.000Z,High-Grade PGM-Cu-Ni From First 2026 Drilling at Southwest,1895KB,true,TM1,,"[""Progress Report""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03098203-6A1328694,2026-06-08T23:11:46.000Z,Terra Metals Added to MSCI Global Index,474KB,false,TM1,,"[""Company Administration - Other""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03092578-6A1326473,2026-05-21T07:18:04.000Z,Application for quotation of securities - TM1,15KB,false,TM1,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03089750-6A1325346,2026-05-13T06:22:56.000Z,Change in substantial holding,141KB,false,TM1,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03089307-6A1325167,2026-05-12T06:41:07.000Z,Change of Director's Interest Notice,278KB,false,TM1,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
TM1,231048316,2924-03089301-6A1325166,2026-05-12T06:36:42.000Z,Notice under Section 708A,242KB,false,TM1,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TM1""}]","[{""symbol"": ""TM1"", ""xid"": ""53618803"", ""ASXSecurityType"": 1, ""displayName"": ""TERRA METALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000329302"", ""xidEntity"": 231048316}]","[""TM1"", """"]"
