ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TMS,204217816,2924-03098546-6A1328820,2026-06-09T09:22:45.000Z,Amended Appendix 3B,270KB,false,TMS,,"[""Issued Capital - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03098115-6A1328585,2026-06-08T22:33:46.000Z,Proposed issue of securities - TMS,16KB,false,TMS,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03097626-6A1328433,2026-06-04T23:30:58.000Z,Proposed issue of securities - TMS,16KB,false,TMS,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03097478-6A1328414,2026-06-04T22:19:53.000Z,Notice of General Meeting/Proxy Form,933KB,false,TMS,,"[""Proxy Form"", ""Notice of General Meeting""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03089706-6A1325334,2026-05-13T03:39:20.000Z,Notice Under Section 708A,314KB,false,TMS,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03089666-6A1325311,2026-05-13T01:30:14.000Z,Application for quotation of securities - TMS,15KB,false,TMS,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03089047-6A1325063,2026-05-11T22:50:29.000Z,Response to ASX Price Query,557KB,true,TMS,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03089045-6A1325041,2026-05-11T22:50:04.000Z,Re-Assays Confirm Exceptional Bluebird Au-Bi-Cu Drill Hit,2621KB,true,TMS,,"[""Trading Halt Lifted"", ""Progress Report""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03088189-6A1324702,2026-05-07T23:55:25.000Z,Trading Halt,547KB,true,TMS,,"[""Trading Halt""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03086521-6A1323992,2026-05-04T22:45:17.000Z,Proposed issue of securities - TMS,23KB,false,TMS,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03086520-6A1323991,2026-05-04T22:45:02.000Z,Tennant Raises Capital to Advance Bluebird Au-Cu-Bi Project,1048KB,true,TMS,,"[""Placement"", ""Trading Halt Lifted""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
TMS,204217816,2924-03085490-6A1323588,2026-05-01T00:31:55.000Z,Exceptional Gold Bismuth Copper Intersection at Bluebird,2733KB,true,TMS,,"[""Progress Report""]","[{""symbolDisplay"": ""TMS""}]","[{""symbol"": ""TMS"", ""xid"": ""651810728"", ""ASXSecurityType"": 1, ""displayName"": ""TENNANT MINERALS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000142945"", ""xidEntity"": 204217816}]","[""TMS"", """"]"
