ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TRA,204133889,2924-03103943-2A1679412,2026-06-25T05:10:53.000Z,Turners FY26 Annual Report,2816KB,false,TRA,,"[""Corporate Governance"", ""Annual Report"", ""Full Year Accounts"", ""Full Year Audit Review""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03100673-2A1677627,2026-06-16T02:52:51.000Z,D&O Ongoing Disclosure Notice - Lauren Quaintance,343KB,false,TRA,,"[""Security holder details - Other""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03099931-2A1677285,2026-06-14T21:31:18.000Z,Directors Nominations,208KB,false,TRA,,"[""Notice of Meeting - Other""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03092181-2A1673061,2026-05-20T21:30:35.000Z,Dividend/Distribution - TRA,17KB,false,TRA,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03092180-2A1673055,2026-05-20T21:30:20.000Z,FY26 Results Presentation,3630KB,true,TRA,,"[""Company Presentation"", ""Preliminary Final Report""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03092177-2A1673054,2026-05-20T21:30:05.000Z,Record FY26 reinforces Turners' FY31 strategic targets,785KB,true,TRA,,"[""Preliminary Final Report"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03089393-2A1671757,2026-05-12T21:30:42.000Z,Results Date and Weblink for Turners FY26 Results Briefing,340KB,false,TRA,,"[""Notification of Results/Reporting Date"", ""Web Cast""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03084895-2A1669189,2026-04-30T04:21:27.000Z,D&O Ongoing Disclosure Notice - Alistair Petrie,345KB,false,TRA,,"[""Security holder details - Other""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03083680-2A1668709,2026-04-28T23:21:37.000Z,Application for quotation of securities - TRA,13KB,false,TRA,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03083674-2A1668706,2026-04-28T23:18:02.000Z,DRP Capital Change Notice,392KB,false,TRA,,"[""Dividend Reinvestment Plan""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03080604-2A1667412,2026-04-20T21:30:13.000Z,Dividend Reinvestment Plan Strike Price,238KB,false,TRA,,"[""Dividend Reinvestment Plan""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03080603-2A1667411,2026-04-20T21:30:03.000Z,Update - Dividend/Distribution - TRA,17KB,false,TRA,,"[""Dividend Reinvestment Plan"", ""Dividend Record Date"", ""Dividend Pay Date"", ""Dividend Rate""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
TRA,204133889,2924-03077819-2A1666035,2026-04-12T21:59:51.000Z,Application for quotation of securities - TRA,16KB,false,TRA,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TRA""}]","[{""symbol"": ""TRA"", ""xid"": ""419008734"", ""ASXSecurityType"": 1, ""displayName"": ""TURNERS AUTOMOTIVE GROUP LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""NZVNLE0001S1"", ""xidEntity"": 204133889}]","[""TRA"", """"]"
