ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TRJ,658391311,2924-03105146-3A696171,2026-06-29T07:42:52.000Z,Change in substantial holding,109KB,false,TRJ,,"[""Change in substantial holding""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03099274-3A695115,2026-06-11T01:39:31.000Z,Change of Director's Interest Notice,196KB,false,TRJ,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03099273-3A695114,2026-06-11T01:38:36.000Z,Notification of cessation of securities - TRJ,12KB,false,TRJ,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03096409-3A694574,2026-06-02T06:56:54.000Z,Change of Director's Interest Notice,199KB,false,TRJ,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03096407-3A694573,2026-06-02T06:52:09.000Z,Application for quotation of securities - TRJ,16KB,false,TRJ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03094062-3A694092,2026-05-26T22:54:28.000Z,"Trading Update - Operational initiatives, AUD revaluation H2",307KB,true,TRJ,,"[""Trading Update""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03080855-3A691732,2026-04-21T01:07:14.000Z,Appointment of Interim Chief Financial Officer,291KB,false,TRJ,,"[""Company Secretary Appointment/Resignation"", ""Company Administration - Other""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03075321-3A690741,2026-04-02T03:05:24.000Z,Change of Director's Interest Notice,243KB,false,TRJ,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03074174-3A690532,2026-03-31T05:27:52.000Z,Cleansing Notice,125KB,false,TRJ,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03074160-3A690524,2026-03-31T05:20:17.000Z,Application for quotation of securities - TRJ,16KB,false,TRJ,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
TRJ,658391311,2924-03072951-3A690335,2026-03-27T03:10:34.000Z,Letter to Shareholders,431KB,false,TRJ,,"[""Letter to Shareholders""]","[{""symbolDisplay"": ""TRJ""}]","[{""symbol"": ""TRJ"", ""xid"": ""658404285"", ""ASXSecurityType"": 1, ""displayName"": ""TRAJAN GROUP HOLDINGS LIMITED"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000150526"", ""xidEntity"": 658391311, ""sector"": ""Health Care"", ""industryGroup"": ""Pharmaceuticals, Biotechnology & Life Sciences"", ""industry"": ""Life Sciences Tools & Services"", ""subIndustry"": ""Life Sciences Tools & Services""}]","[""TRJ"", """"]"
