ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TRP,684687616,2924-03084900-2A1669192,2026-04-30T04:28:22.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,421KB,true,TRP,,"[""Commitments Test Entity - Third Quarter Activity Report"", ""Commitments Test Entity - Third Quarter Cashflow Report""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03080539-2A1667376,2026-04-20T07:04:12.000Z,Initial Director's Interest Notice - PS,1069KB,false,TRP,,"[""Initial Director's Interest Notice""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03080536-2A1667374,2026-04-20T06:59:47.000Z,Director Appointment,234KB,false,TRP,,"[""Director Appointment/Resignation""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03064115-2A1657630,2026-03-03T05:48:08.000Z,Notification of cessation of securities - TRP,14KB,false,TRP,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03062972-2A1656991,2026-02-27T05:40:59.000Z,Notification regarding unquoted securities - TRP,20KB,false,TRP,,"[""Appendix 3G""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03062791-2A1656899,2026-02-27T02:53:58.000Z,Appendix 4D and Half Year Report to 31 December 2025,934KB,true,TRP,,"[""Half Yearly Report"", ""Half Year Audit Review"", ""Half Year Directors' Statement"", ""Half Year Accounts"", ""Half Year Directors' Report""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03051157-2A1650678,2026-01-30T02:22:30.000Z,Quarterly Activities/Appendix 4C Cash Flow Report,335KB,true,TRP,,"[""Commitments Test Entity - Second Quarter Activity Report"", ""Commitments Test Entity - Second Quarter Cashflow Report""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03035739-2A1642322,2025-12-10T03:35:32.000Z,Response to ASX Price Query,347KB,true,TRP,,"[""Response to ASX Query""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03035695-2A1642301,2025-12-10T01:39:51.000Z,Pause in Trading,112KB,true,TRP,,"[""Notice Pending""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03031841-2A1640267,2025-12-01T23:58:51.000Z,Change of Director's Interest Notice - PK,770KB,false,TRP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03028550-2A1638719,2025-11-26T01:15:47.000Z,Change of Director's Interest Notice - AM,772KB,false,TRP,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03028513-2A1638699,2025-11-26T00:41:12.000Z,Notification regarding unquoted securities - TRP,19KB,false,TRP,,"[""Appendix 3G""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03027200-2A1638069,2025-11-24T03:19:51.000Z,Change of Auditor,215KB,false,TRP,,"[""Details of Auditor Appointment/Resignation""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
TRP,684687616,2924-03027104-2A1638016,2025-11-24T00:18:04.000Z,Results of Meeting,239KB,false,TRP,,"[""Results of Meeting""]","[{""symbolDisplay"": ""TRP""}]","[{""symbol"": ""TRP"", ""xid"": ""684838542"", ""ASXSecurityType"": 1, ""displayName"": ""TISSUE REPAIR LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000180887"", ""xidEntity"": 684687616}]","[""TRP"", """"]"
