ticker,entity_xid,documentKey,date,headline,fileSize,isPriceSensitive,symbol,url,announcementTypes,companies,companyInfo,symbolsSecondary
TSR,235718740,2924-03104200-6A1331107,2026-06-25T23:10:37.000Z,"Update Strengthens Cu-Au Targets, Glava & Torsby West",2560KB,true,TSR,,"[""Progress Report""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03095724-6A1327758,2026-05-31T23:32:47.000Z,Proposed issue of securities - TSR,13KB,false,TSR,,"[""Appendix 3B (Proposed issue of securities)""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03095715-6A1327756,2026-05-31T23:29:52.000Z,Option Exercise Consolidates Critical Minerals Transition,438KB,true,TSR,,"[""Progress Report""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03094884-6A1327426,2026-05-28T08:12:45.000Z,Notification of cessation of securities - TSR,14KB,false,TSR,,"[""Appendix 3H (Notification of cessation of securities)""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03088865-6A1324991,2026-05-11T06:32:57.000Z,Change of Director's Interest Notice * 2,323KB,false,TSR,,"[""Change of Director's Interest Notice""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03088864-6A1324990,2026-05-11T06:31:42.000Z,Cleansing Statement,254KB,false,TSR,,"[""Cleansing Notice""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03087836-6A1324574,2026-05-07T04:40:37.000Z,Completion of Unmarketable Parcel Share Sale Facility,95KB,false,TSR,,"[""Issued Capital - Other"", ""Company Administration - Other""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03086858-6A1324194,2026-05-05T08:02:11.000Z,Application for quotation of securities - TSR,17KB,false,TSR,,"[""Appendix 2A""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03084713-6A1323204,2026-04-30T01:02:41.000Z,Quarterly Activities/Appendix 5B Cash Flow Report,1663KB,true,TSR,,"[""Third Quarter Activities Report"", ""Third Quarter Cash Flow Report""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
TSR,235718740,2924-03080685-6A1321221,2026-04-20T22:29:23.000Z,Rock Chip Results Confirm Klinten Gold - Copper Potential,1620KB,true,TSR,,"[""Progress Report""]","[{""symbolDisplay"": ""TSR""}]","[{""symbol"": ""TSR"", ""xid"": ""378324481"", ""ASXSecurityType"": 1, ""displayName"": ""TURNSTONE RESOURCES LTD"", ""issueType"": ""CS"", ""issueTypeName"": ""Common Stock"", ""issueTypeCode"": 1, ""isin"": ""AU0000460404"", ""xidEntity"": 235718740}]","[""TSR"", """"]"
